Pos	Slit	X	Y	Archivo	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL
25	1	167.63	19.6	604R1_778-097100.xlsx	6559.9	0.622	2.662	0.687	-10.84	4.675	-30.7	-14.05	6529.87	1.519	22.457	4.781	-4.454	0.9151	-106.5	-37.4	6565.37	1.519	22.457	4.781	-13.36	2.745	-319.4	-112.2	6711.678	0.974	6.314	2.211	1.605	2.111	10.79	15.15	6726.078	0.974	6.314	2.211	7.866	2.392	52.86	18.88
26	1	166.28	19.6	604R1_778-101104.xlsx	6556.903	0.212	0.664	0.599	15.43	11.14	10.9	7.424	6546.493	1.281	10.123	2.368	3.183	0.8393	34.3	11.06	6581.993	1.281	10.123	2.368	9.548	2.518	102.9	33.18	6710.592	0.276	1.029	0.625	7.721	4.18	8.457	6.249	6724.992	0.276	1.029	0.625	10.15	5.736	11.11	5.046
27	1	164.94	19.6	604R1_778-105108.xlsx	6560.234	0.366	3.419	0.803	-20.8	4.384	-75.68	-17.58	6543.418	1.438	5.944	4.59	2.183	1.189	13.81	9.443	6578.918	1.438	5.944	4.59	6.548	3.566	41.43	28.33	6706.831	0.205	1.222	0.291	7.574	3.749	9.852	5.073	6721.23	0.205	1.222	0.291	-10.97	3.953	-14.27	-4.96
28	1	163.60	19.6	604R1_778-109112.xlsx	6560.227	0.442	2.786	0.605	-17.73	4.962	-52.59	-15.03	6541.659	0.157	0.662	0.286	7.551	3.31	5.324	2.406	6577.159	0.157	0.662	0.286	22.65	9.93	15.97	7.219	6707.364	0	0.353	0	-4.345	4.726	-1.632	0	6721.764	0	0.353	0	-16.01	0	-6.014	-36.46
29	1	162.26	19.6	604R1_778-113116.xlsx	6563.842	1.43	25.374	5.542	-13.97	2.014	-377.3	-114.8	6539.178	0.876	3.675	1.626	2.419	1.113	9.462	5.587	6574.678	0.876	3.675	1.626	7.256	3.34	28.38	16.76	6712.683	0.25	1.067	0.365	7.282	4.53	8.272	4.372	6727.083	0.25	1.067	0.365	-8.749	3.878	-9.939	-5.142
30	1	160.92	19.6	604R1_778-117120.xlsx	6560.232	0.528	3.025	0.802	-13.21	4.056	-42.55	-13.43	6542.517	0	-0.144	0	15.71	0	-2.4	-14.3	6578.017	0	-0.144	0	47.12	0	-7.201	-42.91	6707.575	0.693	3.014	1.467	-4.139	3.053	-13.28	-9.587	6721.975	0.693	3.014	1.467	-5.689	2.87	-18.25	-10.18
31	1	159.58	19.6	604R1_778-121124.xlsx	6559.982	0.413	2.879	0.657	-15.65	4.255	-47.96	-13.74	6548.102	1.278	10.086	2.788	3.202	0.8626	34.37	11.55	6583.602	1.278	10.086	2.788	9.605	2.588	103.1	34.66	6710.945	0.095	0.718	0.311	23.71	7.034	18.13	5.507	6725.345	0.095	0.718	0.311	7.014	5.336	5.364	3.883
32	1	158.24	19.6	604R1_778-125128.xlsx	6556.843	0.286	1.265	0.442	15.58	6.49	20.99	8.834	6547.372	1.267	11.679	2.513	3.577	0.8086	44.47	12.8	6582.872	1.267	11.679	2.513	10.73	2.426	133.4	38.41	6711.099	0.225	0.906	0.466	11.93	4.757	11.5	6.419	6725.499	0.225	0.906	0.466	10.8	6.358	10.41	4.536
33	1	156.90	19.6	604R1_778-129132.xlsx	6556.895	0.803	-0.625	2.649	32.79	78.27	-21.82	-41.15	6541.609	0.195	0.985	0.394	7.11	2.589	7.457	2.821	6577.109	0.195	0.985	0.394	21.33	7.766	22.37	8.464	6711.059	0.14	0.516	0.258	12.82	6.454	7.046	5.901	6725.458	0.14	0.516	0.258	13.23	10.38	7.275	3.463
34	1	155.56	19.6	604R1_778-133136.xlsx	6556.636	0.112	0.917	0.278	41.77	9.757	40.77	9.776	6541.781	0.292	1.034	0.841	6.626	3.462	7.29	3.957	6577.281	0.292	1.034	0.841	19.88	10.39	21.87	11.87	6710.667	0.128	-0.472	0.212	22.8	7.685	-11.46	-4.179	6725.066	0.128	-0.472	0.212	6.772	6.955	-3.405	-3.351
