Pos	Slit	X	Y	Archivo	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL
51	6	132.76	8	604R6_788-201204.xlsx	6556.374	0.005	1.205	0.013	1088	9.825	1396	12.89	6541.604	0.021	0.969	0.051	76.73	3.455	79.1	3.668	6577.104	0.021	0.969	0.051	230.2	10.36	237.3	11	6710.446	0.014	1.037	0.035	174.1	5.457	192.1	6.227	6724.846	0.014	1.037	0.035	132.6	5.16	146.3	5.813
52	6	131.42	8	604R6_788-205208.xlsx	6556.437	0.005	1.012	0.012	1850	17.56	1993	19.3	6541.63	0.021	0.8	0.055	116.9	6.326	99.53	5.556	6577.13	0.021	0.8	0.055	350.6	18.98	298.6	16.67	6710.474	0.009	0.937	0.026	252.2	6.551	251.5	6.629	6724.874	0.009	0.937	0.026	168.2	5.987	167.8	6.164
53	6	130.08	8	604R6_788-209212.xlsx	6556.53	0.008	0.994	0.02	1515	24.98	1602	26.96	6541.327	0.085	1.944	0.168	62.81	5.322	130	11.5	6576.827	0.085	1.944	0.168	188.4	15.97	389.9	34.5	6710.585	0.01	0.906	0.029	201.9	5.82	194.8	5.796	6724.985	0.01	0.906	0.029	137.8	5.398	133	5.275
54	6	128.74	8	604R6_788-213216.xlsx	6556.475	0.017	1.422	0.048	732.2	19.36	1108	30.26	6541.653	0.119	1.406	0.289	36.34	6.019	54.39	9.461	6577.153	0.119	1.406	0.289	109	18.06	163.2	28.38	6710.501	0.04	1.517	0.106	89.81	5.281	145.1	8.65	6724.901	0.04	1.517	0.106	58.91	4.569	95.16	8.081
55	6	127.40	8	604R6_788-217220.xlsx	6556.309	0.01	1.481	0.022	841.5	10.91	1326	17.65	6541.471	0.044	1.317	0.096	54.85	3.633	76.87	5.268	6576.971	0.044	1.317	0.096	164.5	10.9	230.6	15.8	6710.217	0.021	1.457	0.047	131.2	4.294	203.4	6.907	6724.617	0.021	1.457	0.047	84.87	4.034	131.6	6.382
56	6	126.05	8	604R6_788-221224.xlsx	6556.428	0.005	1.175	0.014	1386	14.12	1734	18.06	6541.523	0.028	1.027	0.075	87.34	4.975	95.51	5.637	6577.023	0.028	1.027	0.075	262	14.92	286.5	16.91	6710.383	0.012	1.026	0.027	193	4.977	210.8	5.521	6724.783	0.012	1.026	0.027	137.6	4.611	150.3	5.212
57	6	124.71	8	604R6_788-225228.xlsx	6556.533	0.006	1.098	0.013	1894	18.1	2214	21.63	6541.671	0.028	0.944	0.067	98.91	6.014	99.44	6.215	6577.171	0.028	0.944	0.067	296.7	18.04	298.3	18.65	6710.562	0.01	0.971	0.027	202.1	5.348	208.8	5.567	6724.961	0.01	0.971	0.027	146.6	4.913	151.5	5.303
58	6	123.37	8	604R6_788-229232.xlsx	6556.645	0.005	1.009	0.012	3412	33.57	3665	36.78	6541.775	0.025	0.827	0.063	181.5	11.56	159.8	10.43	6577.275	0.025	0.827	0.063	544.6	34.69	479.5	31.28	6710.645	0.007	0.841	0.016	394.7	7.131	353.3	6.53	6725.045	0.007	0.841	0.016	266.6	6.592	238.6	6.005
59	6	122.03	8	604R6_788-233236.xlsx	6556.587	0.003	0.933	0.007	7685	46.32	7635	46.84	6541.745	0.014	0.704	0.037	398.4	17.06	298.7	13.11	6577.245	0.014	0.704	0.037	1195	51.17	896.1	39.33	6710.608	0.005	0.783	0.014	705.2	12.2	588.1	10.34	6725.008	0.005	0.783	0.014	523.7	11.43	436.7	9.711
60	6	120.69	8	604R6_788-237240.xlsx	6556.623	0.002	0.896	0.006	16000	95.01	15260	92.18	6541.785	0.015	0.729	0.04	757.1	33.93	587.3	26.64	6577.285	0.015	0.729	0.04	2271	101.8	1762	79.92	6710.653	0.004	0.807	0.011	1336	17.19	1147	15.14	6725.053	0.004	0.807	0.011	1011	16.31	867.9	14.19
61	6	119.35	8	604R6_788-241244.xlsx	6556.691	0.001	0.812	0.004	30960	119.9	26770	105.7	6541.842	0.011	0.683	0.029	1248	43.68	908	31.3	6577.342	0.011	0.683	0.029	3745	131	2724	93.89	6710.716	0.002	0.723	0.007	2137	20.4	1644	16.26	6725.116	0.002	0.723	0.007	1568	19.54	1206	15.15
62	6	118.01	8	604R6_788-245248.xlsx	6556.724	0.001	0.8	0.003	25240	81.84	21480	71.04	6541.879	0.007	0.68	0.018	1298	29.25	938.6	20.91	6577.379	0.007	0.68	0.018	3893	87.75	2816	62.73	6710.772	0.002	0.725	0.007	1863	19.31	1437	15.32	6725.172	0.002	0.725	0.007	1420	18.51	1095	14.51
63	6	116.67	8	604R6_788-249252.xlsx	6556.856	0.003	0.862	0.008	8222	66.52	7543	61.94	6541.954	0.022	0.717	0.051	356.2	22.27	272	17.43	6577.454	0.022	0.717	0.051	1069	66.82	816	52.28	6710.843	0.005	0.758	0.015	703.8	12.79	567.7	10.5	6725.243	0.005	0.758	0.015	488.9	11.85	394.4	9.736
64	6	115.33	8	604R6_788-253256.xlsx	6556.947	0.01	1.135	0.037	1997	48.05	2412	59.75	6542.089	0.063	0.902	0.188	108.3	16.77	103.9	16.65	6577.589	0.063	0.902	0.188	324.8	50.3	311.8	49.95	6710.96	0.039	1.491	0.175	201.9	13.77	320.4	23.94	6725.36	0.039	1.491	0.175	137	10.83	217.3	19.4
65	6	113.99	8	604R6_788-257260.xlsx	6557.075	0.01	1.375	0.027	1946	30.13	2848	45.47	6542.256	0.054	1.233	0.14	110	9.967	144.3	13.65	6577.756	0.054	1.233	0.14	329.9	29.9	433	40.95	6711.194	0.013	1.151	0.034	301.6	7.603	369.5	9.763	6725.594	0.013	1.151	0.034	221.3	7.088	271.1	8.881
66	6	112.64	8	604R6_788-261264.xlsx	6556.77	0.024	2.109	0.059	2237	54.44	5022	126.9	6542.388	0.09	0.896	0.242	134.4	28.11	128.2	27.62	6577.888	0.09	0.896	0.242	403.3	84.33	384.6	82.85	6711.291	0.015	0.921	0.035	353.4	11.82	346.6	11.97	6725.69	0.015	0.921	0.035	259.5	10.99	254.5	11.01
67	6	111.30	8	604R6_788-265268.xlsx	6556.347	0.012	1.158	0.042	6338	164.8	7815	209.6	6542.106	0.306	1.724	0.568	105.8	35.41	194.2	68.08	6577.606	0.306	1.724	0.568	317.3	106.2	582.5	204.2	6711.061	0.029	1.867	0.062	260.7	8.715	518.2	18.05	6725.461	0.029	1.867	0.062	182.2	8.174	362.1	16.94
68	6	109.96	8	604R6_788-269272.xlsx	6556.306	0.018	1.067	0.047	7698	236.3	8746	276.8	6541.792	0.323	1.701	0.629	140	49.31	253.5	94.05	6577.292	0.323	1.701	0.629	420.1	147.9	760.6	282.2	6710.804	0.036	2.067	0.077	303.7	12.94	668.1	29.52	6725.204	0.036	2.067	0.077	231.7	12.41	509.7	28.42
69	6	108.62	8	604R6_788-273276.xlsx	6556.522	0.023	1.882	0.057	3864	102.7	7739	212.9	6542.001	0.224	1.848	0.463	134.6	31.92	264.8	65.7	6577.501	0.224	1.848	0.463	403.9	95.75	794.3	197.1	6710.974	0.028	1.79	0.069	313	12.2	596.4	24.08	6725.374	0.028	1.79	0.069	224.9	11.45	428.6	22.81
70	6	107.28	8	604R6_788-277280.xlsx	6557.059	0.008	1.167	0.024	6973	114	8662	145.3	6542.261	0.062	0.931	0.156	289.3	39.38	286.7	40.21	6577.761	0.062	0.931	0.156	868	118.1	860.2	120.6	6711.131	0.009	0.996	0.019	615.7	10.79	653	11.7	6725.531	0.009	0.996	0.019	443.5	10.01	470.4	10.94
71	6	105.94	8	604R6_788-281284.xlsx	6556.927	0.002	0.92	0.006	13260	73.55	12980	73.25	6542.093	0.014	0.774	0.034	678.8	25.09	559.3	21.23	6577.593	0.014	0.774	0.034	2036	75.28	1678	63.69	6710.976	0.003	0.833	0.007	1232	10.38	1093	9.404	6725.375	0.003	0.833	0.007	910.1	9.777	807.4	8.811
72	6	104.60	8	604R6_788-285288.xlsx	6556.824	0.004	1.027	0.009	9964	70.6	10900	78.78	6542.069	0.024	0.857	0.06	415	24.26	378.8	22.74	6577.569	0.024	0.857	0.06	1245	72.78	1136	68.22	6710.973	0.004	0.92	0.01	778	8.445	761.8	8.517	6725.373	0.004	0.92	0.01	567.4	7.963	555.6	7.908
73	6	103.26	8	604R6_788-289292.xlsx	6556.672	0.003	1.038	0.007	9788	54.3	10810	61.22	6541.84	0.021	0.987	0.054	394.4	17.62	414.4	19.1	6577.34	0.021	0.987	0.054	1183	52.87	1243	57.3	6710.728	0.005	1.053	0.017	798.9	11.86	895.8	13.67	6725.127	0.005	1.053	0.017	564.6	10.95	633	12.64
74	6	101.92	8	604R6_788-293296.xlsx	6556.651	0.003	0.986	0.006	8044	41.81	8445	44.74	6541.769	0.014	0.85	0.035	426.1	14.45	385.5	13.43	6577.269	0.014	0.85	0.035	1278	43.35	1157	40.28	6710.635	0.004	0.878	0.01	857.9	9.102	802	8.742	6725.035	0.004	0.878	0.01	631.1	8.566	590	8.134
75	6	100.58	8	604R6_788-297300.xlsx	6556.566	0.003	1.059	0.007	4116	22.71	4640	26.11	6541.668	0.012	0.918	0.03	280.2	7.732	273.7	7.765	6577.168	0.012	0.918	0.03	840.6	23.2	821	23.29	6710.536	0.004	0.943	0.011	617	6.779	619.5	6.98	6724.936	0.004	0.943	0.011	466.9	6.417	468.8	6.569
76	6	99.23	8	604R6_788-301304.xlsx	6556.668	0.003	1.015	0.006	2424	12.95	2619	14.26	6541.782	0.013	0.88	0.031	147.1	4.431	137.8	4.258	6577.282	0.013	0.88	0.031	441.3	13.29	413.4	12.78	6710.626	0.008	0.91	0.017	317.7	5.981	308	5.987	6725.026	0.008	0.91	0.017	239.3	5.712	231.9	5.584
77	6	97.89	8	604R6_788-305308.xlsx	6556.778	0.002	0.972	0.006	2264	10.88	2342	11.46	6541.911	0.01	0.863	0.024	150.5	3.621	138.3	3.409	6577.411	0.01	0.863	0.024	451.6	10.86	414.9	10.23	6710.753	0.006	0.927	0.019	328.6	6.268	324.2	6.297	6725.153	0.006	0.927	0.019	226.1	5.747	223.1	5.845
78	6	96.55	8	604R6_788-309312.xlsx	6556.766	0.003	0.974	0.007	2002	12.52	2075	13.22	6541.863	0.012	0.831	0.029	144.6	4.253	127.9	3.843	6577.363	0.012	0.831	0.029	433.7	12.76	383.6	11.53	6710.708	0.007	0.908	0.015	336.6	5.529	325.2	5.446	6725.108	0.007	0.908	0.015	247.4	5.191	239	5.133
79	6	95.21	8	604R6_788-313316.xlsx	6556.793	0.005	0.99	0.011	1377	12.54	1450	13.48	6541.897	0.021	0.913	0.049	87.45	4.048	85.03	4.04	6577.397	0.021	0.913	0.049	262.4	12.14	255.1	12.12	6710.741	0.012	1.024	0.03	210.1	5.561	229.1	6.201	6725.141	0.012	1.024	0.03	149.4	5.12	162.9	5.771
80	6	93.87	8	604R6_788-317320.xlsx	6556.803	0.005	1.049	0.011	1121	9.73	1253	11.09	6541.935	0.024	1.034	0.061	64.98	3.13	71.52	3.562	6577.435	0.024	1.034	0.061	194.9	9.39	214.6	10.69	6710.8	0.012	1.131	0.035	170	4.899	204.7	6.091	6725.2	0.012	1.131	0.035	115.3	4.551	138.8	5.594
81	6	92.53	8	604R6_788-321324.xlsx	6556.812	0.007	1.061	0.014	905.2	10.13	1022	11.68	6541.975	0.029	1.019	0.072	55.78	3.259	60.48	3.649	6577.475	0.029	1.019	0.072	167.3	9.777	181.4	10.95	6710.832	0.013	1.102	0.04	158	4.935	185.3	5.969	6725.231	0.013	1.102	0.04	96.9	4.421	113.7	5.338
82	6	91.19	8	604R6_788-325328.xlsx	6556.789	0.007	1.172	0.019	792.4	10.42	988.2	13.32	6541.957	0.042	1.28	0.1	45.27	3.044	61.67	4.307	6577.457	0.042	1.28	0.1	135.8	9.131	185	12.92	6710.865	0.014	1.14	0.038	135.5	4.213	164.4	5.205	6725.265	0.014	1.14	0.038	94.46	3.851	114.7	4.878
83	6	89.85	8	604R6_788-329332.xlsx	6556.861	0.007	1.266	0.017	763.2	8.726	1029	12.06	6542.013	0.03	1.239	0.079	54.92	2.841	72.44	3.903	6577.513	0.03	1.239	0.079	164.8	8.524	217.3	11.71	6710.832	0.019	1.314	0.044	147.6	4.715	206.5	6.694	6725.231	0.019	1.314	0.044	103.7	4.304	145	6.35
84	6	88.51	8	604R6_788-333336.xlsx	6556.939	0.007	1.147	0.022	783.9	11.69	957.2	14.63	6542.072	0.03	1.048	0.081	64.11	3.882	71.51	4.489	6577.572	0.03	1.048	0.081	192.3	11.65	214.5	13.47	6710.943	0.013	1.157	0.041	194.7	6.063	239.8	7.739	6725.343	0.013	1.157	0.041	135.1	5.587	166.3	7.076
85	6	87.17	8	604R6_788-337340.xlsx	6556.885	0.01	1.144	0.03	507.3	10.49	617.9	13.1	6542.077	0.048	1.214	0.126	38.48	3.194	49.74	4.302	6577.577	0.048	1.214	0.126	115.4	9.581	149.2	12.9	6710.926	0.017	1.044	0.052	130.1	5.779	144.7	6.623	6725.326	0.017	1.044	0.052	93.39	5.353	103.8	6.122
86	6	85.82	8	604R6_788-341344.xlsx	6556.77	0.011	1.161	0.028	365.6	7.364	451.8	9.306	6541.976	0.055	1.305	0.138	25.42	2.22	35.33	3.213	6577.476	0.055	1.305	0.138	76.27	6.661	106	9.639	6710.812	0.024	1.109	0.063	86.68	4.621	102.3	5.612	6725.211	0.024	1.109	0.063	52.99	4.209	62.56	5.086
87	6	84.48	8	604R6_788-345348.xlsx	6556.641	0.013	1.462	0.026	467.6	7.562	727.6	12.07	6541.767	0.048	1.35	0.107	34.84	2.49	50.07	3.702	6577.267	0.048	1.35	0.107	104.5	7.469	150.2	11.11	6710.715	0.028	1.384	0.062	95.01	4.689	140	7.336	6725.115	0.028	1.384	0.062	72.9	4.659	107.4	6.781
88	6	83.14	8	604R6_788-349352.xlsx	6556.852	0.019	1.319	0.057	298.8	9.871	419.4	14.3	6541.879	0.114	1.601	0.294	18.16	2.717	30.96	4.867	6577.379	0.114	1.601	0.294	54.49	8.15	92.89	14.6	6710.924	0.042	1.276	0.13	67.4	5.417	91.51	8.017	6725.324	0.042	1.276	0.13	49.49	5.154	67.2	6.971
89	6	81.80	8	604R6_788-353356.xlsx	6556.867	0.025	1.39	0.06	205.6	7.292	304.3	11.1	6541.918	0.113	1.469	0.248	14.21	2.152	22.21	3.519	6577.418	0.113	1.469	0.248	42.63	6.456	66.64	10.56	6710.851	0.063	1.577	0.178	41.37	4.081	69.46	7.227	6725.25	0.063	1.577	0.178	27.64	3.759	46.41	6.506
90	6	80.46	8	604R6_788-357360.xlsx	6556.798	0.01	1.107	0.029	395.5	8.296	466	10.02	6541.865	0.111	1.596	0.315	14.72	2.224	25.01	4	6577.365	0.111	1.596	0.315	44.15	6.671	75.03	12	6710.807	0.067	1.956	0.162	48.07	3.646	100.1	8.127	6725.207	0.067	1.956	0.162	32.28	3.426	67.19	7.338
91	6	79.12	8	604R6_788-361364.xlsx	6556.841	0.005	0.952	0.014	1032	11.99	1046	12.38	6542.01	0.021	0.815	0.056	75.06	4.12	65.14	3.686	6577.51	0.021	0.815	0.056	225.2	12.36	195.4	11.06	6710.908	0.013	0.833	0.028	205.3	6.474	182	5.772	6725.308	0.013	0.833	0.028	136.8	5.848	121.3	5.378
92	6	77.78	8	604R6_788-365368.xlsx	6556.807	0.005	1.018	0.011	1533	13.53	1661	14.94	6542.013	0.016	0.813	0.04	122.6	4.848	106.1	4.323	6577.513	0.016	0.813	0.04	367.7	14.54	318.2	12.97	6710.868	0.01	0.877	0.023	291.6	7.289	272.2	6.955	6725.268	0.01	0.877	0.023	225.8	6.912	210.8	6.588
93	6	76.44	8	604R6_788-369372.xlsx	6556.881	0.004	0.964	0.011	1218	11.24	1250	11.74	6542.012	0.015	0.851	0.035	104.5	3.732	94.66	3.471	6577.512	0.015	0.851	0.035	313.5	11.2	284	10.41	6710.903	0.008	0.879	0.018	300.1	5.912	280.7	5.75	6725.303	0.008	0.879	0.018	218.9	5.676	204.8	5.294
94	6	75.10	8	604R6_788-373376.xlsx	6556.868	0.011	1.003	0.024	464.7	9.233	496.1	10.05	6541.93	0.032	0.957	0.089	42.36	3.084	43.16	3.255	6577.43	0.032	0.957	0.089	127.1	9.253	129.5	9.764	6710.868	0.014	0.883	0.035	132.7	5.181	124.8	4.948	6725.268	0.014	0.883	0.035	95.54	4.821	89.84	4.657
95	6	73.76	8	604R6_788-377380.xlsx	6556.83	0.027	1.056	0.083	139.7	8.614	157	9.912	6541.969	0.103	1.033	0.266	13.18	2.717	14.49	3.092	6577.469	0.103	1.033	0.266	39.53	8.15	43.46	9.277	6710.755	0.04	0.818	0.096	58.99	6.133	51.39	5.451	6725.155	0.04	0.818	0.096	34.06	5.439	29.67	4.863
96	6	72.41	8	604R6_788-381384.xlsx	6556.792	0.05	1.073	0.12	99.43	9.027	113.6	10.61	6543.481	0.914	5.446	1.674	3.782	1.209	21.92	7.912	6578.981	0.914	5.446	1.674	11.35	3.626	65.77	23.74	6710.715	0.069	1.208	0.14	38.95	4.507	50.09	6.062	6725.115	0.069	1.208	0.14	21.86	4.25	28.1	5.434
97	6	71.07	8	604R6_788-385388.xlsx	6556.738	0.04	1.107	0.085	105.5	7.293	124.3	8.754	6541.771	0.11	1.066	0.244	11.27	2.332	12.79	2.737	6577.271	0.11	1.066	0.244	33.81	6.997	38.37	8.21	6710.716	0.055	1.097	0.131	39.41	4.523	46.02	5.532	6725.116	0.055	1.097	0.131	27.66	4.313	32.29	5.04
98	6	69.73	8	604R6_788-389392.xlsx	6556.84	0.048	0.933	0.124	82.38	9.113	81.84	9.22	6541.844	0.112	0.685	0.292	10.4	3.478	7.587	2.586	6577.344	0.112	0.685	0.292	31.2	10.44	22.76	7.758	6710.715	0.065	0.922	0.133	30.35	4.673	29.78	4.4	6725.115	0.065	0.922	0.133	20.13	4.135	19.75	4.415
99	6	68.39	8	604R6_788-393396.xlsx	6556.874	0.062	0.966	0.156	56.36	7.532	57.94	7.871	6541.909	0.202	1.393	0.611	6.889	2.119	10.22	3.417	6577.409	0.202	1.393	0.611	20.67	6.356	30.65	10.25	6710.744	0.093	0.685	0.233	21.5	6.285	15.68	4.468	6725.144	0.093	0.685	0.233	9.978	5.1	7.275	4.207
100	6	67.05	8	604R6_788-397400.xlsx	6556.804	0.063	0.839	0.169	52	8.86	46.44	8.024	6541.948	0.187	0.976	0.407	6.677	2.533	6.934	2.667	6577.448	0.187	0.976	0.407	20.03	7.598	20.8	8.002	6712.369	0.724	4.929	1.473	5.185	2.101	27.2	12.49	6726.769	0.724	4.929	1.473	6.429	2.15	33.73	12.82
101	6	65.71	8	604R6_788-401404.xlsx	6556.97	0.102	0.985	0.194	37.38	7.74	39.18	8.2	6542.069	0.271	1.641	0.522	5.995	1.907	10.47	3.499	6577.569	0.271	1.641	0.522	17.98	5.722	31.42	10.5	6710.846	0.235	1.323	0.43	12.97	4.081	18.26	6.439	6725.246	0.235	1.323	0.43	6.014	4.351	8.469	5.385
102	6	64.37	8	604R6_788-405408.xlsx	6557.031	0.114	1	0.25	37.05	8.269	39.46	9.095	6546.343	1.566	10.435	3.077	3.076	0.8885	34.17	12.63	6581.843	1.566	10.435	3.077	9.229	2.666	102.5	37.9	6711.071	0.133	1.366	0.324	19.61	4.11	28.51	5.932	6725.471	0.133	1.366	0.324	6.707	3.379	9.752	5.343
103	6	63.03	8	604R6_788-409412.xlsx	6556.961	0.085	0.926	0.175	49.17	8.535	48.44	8.54	6542.87	0.421	1.786	1.066	4.135	2.05	7.862	4.085	6578.37	0.421	1.786	1.066	12.41	6.151	23.59	12.25	6711.312	0.127	1.629	0.229	20.23	3.449	35.1	5.947	6725.712	0.127	1.629	0.229	12.3	3.187	21.34	5.828
104	6	61.69	8	604R6_788-413416.xlsx	6556.966	0.041	-0.793	0.11	73.67	8.785	-62.16	-7.516	6542.104	0.18	1.231	0.389	7.429	2.145	9.737	2.925	6577.604	0.18	1.231	0.389	22.29	6.436	29.21	8.774	6710.945	0.088	0.973	0.231	25.26	5.021	26.15	5.36	6725.345	0.088	0.973	0.231	8.902	4.217	9.216	4.392
105	6	60.35	8	604R6_788-417420.xlsx	6556.985	0.064	0.904	0.159	56.13	8.549	54.04	8.373	6541.824	0.157	1.219	0.29	8.77	2.161	11.38	2.91	6577.324	0.157	1.219	0.29	26.31	6.484	34.14	8.731	6711.015	0.07	0.764	0.162	27.21	6.3	22.13	4.333	6725.415	0.07	0.764	0.162	23.12	5.124	18.8	5.127
106	6	59.00	8	604R6_788-421424.xlsx	6556.931	0.054	-0.831	0.11	76.83	8.668	-67.94	-7.801	6542.802	0.67	3.467	1.411	4.612	1.426	17.02	5.916	6578.302	0.67	3.467	1.411	13.84	4.279	51.06	17.75	6711.04	0.067	0.646	0.141	21.63	5.426	14.87	4.151	6725.439	0.067	0.646	0.141	20.3	5.917	13.96	3.74
107	6	57.66	8	604R6_788-425428.xlsx	6557.011	0.05	-0.849	0.119	78.22	9.825	-70.7	-9.015	6541.891	0.181	1.036	0.413	8.352	2.875	9.211	3.244	6577.391	0.181	1.036	0.413	25.06	8.625	27.63	9.731	6710.913	0.108	1.016	0.205	17.88	4.149	19.33	5.066	6725.312	0.108	1.016	0.205	13.03	4.441	14.09	4.359
108	6	56.32	8	604R6_788-429432.xlsx	6556.945	0.055	-0.791	0.111	72.59	8.777	-61.16	-7.518	6542.566	0.817	4.142	2.54	3.282	1.296	14.47	7.264	6578.066	0.817	4.142	2.54	9.847	3.889	43.41	21.79	6710.773	0.075	1.017	0.223	28.63	4.867	30.98	5.22	6725.173	0.075	1.017	0.223	8.59	3.674	9.296	4.331
109	6	54.98	8	604R6_788-433436.xlsx	6556.799	0.061	-0.578	0.162	55.76	12.95	-34.31	-7.562	6546.486	1.526	9.869	2.92	2.946	0.9561	30.95	12.24	6581.986	1.526	9.869	2.92	8.838	2.868	92.84	36.73	6711.278	0.123	0.695	0.331	9.081	4.796	6.713	3.407	6725.678	0.123	0.695	0.331	10.3	4.668	7.616	3.686
110	6	53.64	8	604R6_788-437440.xlsx	6556.875	0.01	-0.295	0.426	144.5	461.8	-45.33	-79.37	6541.563	0.219	0.778	0.565	5.911	3.201	4.893	2.786	6577.063	0.219	0.778	0.565	17.73	9.602	14.68	8.358	6711.221	0.165	1.087	0.278	11.17	3.952	12.93	5.001	6725.621	0.165	1.087	0.278	11.06	4.222	12.81	4.642
111	6	52.30	8	604R6_788-441444.xlsx	6556.905	0.082	0.841	0.149	53.68	9.182	48.03	8.309	6541.844	0.177	0.725	0.406	6.671	3.273	5.15	2.557	6577.344	0.177	0.725	0.406	20.01	9.818	15.45	7.67	6710.826	0.119	1.122	0.229	12.05	4.414	14.4	4.652	6725.226	0.119	1.122	0.229	17.54	4.014	20.95	5.555
112	6	50.96	8	604R6_788-445448.xlsx	6556.955	0.105	-0.778	0.325	34.6	10.81	-28.64	-9.111	6541.797	0.033	0.275	0.07	23.05	9.73	6.754	2.063	6577.297	0.033	0.275	0.07	69.14	29.19	20.26	6.188	6710.932	0.148	0.813	0.271	12.43	4.335	10.76	4.749	6725.332	0.148	0.813	0.271	9.221	5.405	7.984	3.806
113	6	49.62	8	604R6_788-449452.xlsx	6557.032	0.07	0.624	0.138	55.49	10.24	36.84	7.395	6541.747	0.283	1.11	0.615	5.227	2.535	6.173	3.06	6577.247	0.283	1.11	0.615	15.68	7.605	18.52	9.179	6710.433	0.886	-5.475	3.447	5.387	2.739	-31.4	-12.64	6724.833	0.886	-5.475	3.447	-0.0551	0.3176	0.3211	1.831
114	6	48.28	8	604R6_788-453456.xlsx	6556.919	0.098	0.718	0.28	37.98	10.59	29.04	8.248	6545.832	2.236	12.613	3.412	2.035	0.7683	27.33	12.33	6581.332	2.236	12.613	3.412	6.106	2.305	81.98	36.98	6710.935	0.198	0.986	0.281	11.69	4.579	12.26	5.079	6725.334	0.198	0.986	0.281	7.214	4.51	7.57	4.658
115	6	46.94	8	604R6_788-457460.xlsx	6556.939	0.093	-0.73	0.226	39.23	10.24	-30.5	-8.059	6542.94	0.906	3.703	2.227	2.848	1.441	11.23	6.216	6578.44	0.906	3.703	2.227	8.545	4.322	33.68	18.65	6710.644	0.082	-0.696	0.147	26.48	5.907	-19.61	-4.348	6725.044	0.082	-0.696	0.147	6.978	5.251	-5.167	-4.056
116	6	45.59	8	604R6_788-461464.xlsx	6556.873	0	-163.657	205.945	-57.13	128.8	9953	35090	6543.833	3.224	9.869	4.028	1.192	0.6741	12.52	15.97	6579.333	3.224	9.869	4.028	3.576	2.022	37.57	47.9	6710.907	0.125	1.055	0.309	12.15	4.871	13.63	4.805	6725.307	0.125	1.055	0.309	16.33	4.449	18.33	5.887
117	6	44.25	8	604R6_788-465468.xlsx	6559.458	0.406	2.404	0.736	-19.37	5.303	-49.57	-14.13	6541.843	0.049	-0.318	0.183	12.33	11.34	-4.177	-2.022	6577.343	0.049	-0.318	0.183	36.98	34.01	-12.53	-6.065	6711.029	0.132	1.145	0.261	19.07	4.12	23.24	5.144	6725.429	0.132	1.145	0.261	3.142	3.562	3.83	4.367
118	6	42.91	8	604R6_788-469472.xlsx	6559.835	0.357	2.59	0.5	-18.21	4.66	-50.21	-13.05	6541.362	0.162	0.56	0.337	6.308	3.326	3.761	2.117	6576.862	0.162	0.56	0.337	18.92	9.977	11.28	6.35	6710.353	0.269	1.412	0.484	8.556	3.904	12.86	6.033	6724.752	0.269	1.412	0.484	7.48	3.89	11.24	5.881
119	6	41.57	8	604R6_788-473476.xlsx	6556.829	0.186	0.824	0.342	21.48	8.424	18.84	7.517	6546.75	1.613	12.26	2.881	2.91	0.7937	37.97	12.75	6582.25	1.613	12.26	2.881	8.729	2.381	113.9	38.24	6714.194	0.88	4.416	1.454	0.9541	3.625	4.485	16.97	6728.594	0.88	4.416	1.454	-6.08	2.397	-28.58	-11.9
120	6	40.23	8	604R6_788-477480.xlsx	6559.509	0.388	2.455	0.918	-18.88	5.377	-49.34	-14.8	6542.698	0.648	1.737	1.262	2.48	1.738	4.586	3.483	6578.198	0.648	1.737	1.262	7.441	5.213	13.76	10.45	6712.663	0.326	1.27	0.648	-9.648	4.183	-13.04	-6.091	6727.063	0.326	1.27	0.648	3.865	3.637	5.225	4.79
121	6	38.89	8	604R6_788-481484.xlsx	6559.887	0.402	2.984	0.631	-18.65	4.688	-59.24	-15.25	6541.598	0.171	0.674	0.308	6.479	3.186	4.647	2.29	6577.098	0.171	0.674	0.308	19.44	9.558	13.94	6.87	6710.823	0.289	1.003	0.51	6.774	4.853	7.231	4.989	6725.223	0.289	1.003	0.51	8.062	4.609	8.605	5.275
122	6	37.55	8	604R6_788-485488.xlsx	6559.843	0.321	2.415	0.561	-18.08	4.497	-46.5	-12.17	6542.107	0.733	2.489	3.122	2.914	2.102	7.721	6.334	6577.607	0.733	2.489	3.122	8.743	6.305	23.16	19	6711.119	0.102	0.631	0.176	15.78	5.405	10.6	3.461	6725.519	0.102	0.631	0.176	8.555	4.844	5.748	3.612
123	6	36.21	8	604R6_788-489492.xlsx	6560.081	0.448	3.098	0.927	-13.98	3.959	-46.09	-13.84	6540.468	1.125	2.796	1.516	1.694	1.232	5.04	3.955	6575.968	1.125	2.796	1.516	5.081	3.695	15.12	11.86	6710.751	0.492	1.532	0.762	2.011	3.958	3.28	6.023	6725.151	0.492	1.532	0.762	6.81	3.907	11.11	7.047
