Pos	X	Y	Slit	Archivo	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL			
109	60.0768	11	5	595a5_888-433436.xlsx	4854.909	0.324	0.51	0.42	-9.107	6.841	-4.946	-4.841	4953.966	0	0.088	0.03	-68.5	127.6	-6.411	-9.888	5002.596	0	0.088	0.03	-205.5	382.9	-19.23	-29.66			
110	58.6464	11	5	595a5_888-437440.xlsx	4857.097	1.04	2.608	1.657	-3.776	2.644	-10.48	-8.117	4951.745	1.253	4.331	2.119	-1.345	0.6202	-6.199	-3.798	5000.375	1.253	4.331	2.119	-4.034	1.861	-18.6	-11.39			
111	57.216	11	5	595a5_888-441444.xlsx	4856.595	0.349	1.115	0.722	12.67	6.268	15.04	7.068	4955.437	0.058	0.421	0.244	-7.329	5.305	-3.285	-1.163	5004.066	0.058	0.421	0.244	-21.99	15.92	-9.855	-3.489			
112	55.7856	11	5	595a5_888-445448.xlsx	4857.685	1.182	3.842	2.022	4.265	2.166	17.44	9.365	4955.297	0	0.078	0	6.418	0.7101	0.5326	0	5003.927	0	0.078	0	19.25	2.13	1.598	0			
113	54.3552	11	5	595a5_888-449452.xlsx	4857.115	0.021	-0.292	0.155	30.48	40.19	-9.46	-7.974	4957.16	1.169	2.162	1.721	-1.426	0.7917	-3.281	-2.817	5005.79	1.169	2.162	1.721	-4.278	2.375	-9.843	-8.452			
114	52.9248	11	5	595a5_888-453456.xlsx	4858.325	2.035	6.408	3.026	-3.211	1.894	-21.9	-12.45	4985.182	25.502	-120.64	46.241	-0.5912	0.1388	75.93	35.07	5033.812	25.502	-120.64	46.241	-1.774	0.4164	227.8	105.2			
115	51.4944	11	5	595a5_888-457460.xlsx	4861.019	1.157	4.092	2.33	-5.636	2.867	-24.55	-11.35	4953.458	0.213	0.832	0.544	3.382	2.143	2.994	1.543	5002.087	0.213	0.832	0.544	10.15	6.43	8.982	4.63			
116	50.064	11	5	595a5_888-461464.xlsx	4854.968	1.3	3.614	2.683	3.783	2.674	14.55	10.22	4967.605	0.393	1.193	0.63	2.231	1.474	2.833	1.736	5016.235	0.393	1.193	0.63	6.693	4.422	8.498	5.208			
117	48.6336	11	5	595a5_888-465468.xlsx	4854.661	1.76	3.615	2.73	-3.041	3.196	-11.7	-9.806	4962.617	0.09	-0.459	0.492	-6.371	7.929	3.111	1.178	5011.247	0.09	-0.459	0.492	-19.11	23.79	9.333	3.535			
118	47.2032	11	5	595a5_888-469472.xlsx	4854.412	0.463	1.947	1.333	-8.431	4.405	-17.47	-8.375	4954.496	0	-0.4	0	4.177	0	-1.78	-1.931	5003.125	0	-0.4	0	12.53	0	-5.339	-5.793			
119	45.7728	11	5	595a5_888-473476.xlsx	4858.991	0.375	-1.067	1.007	-8.924	6.354	10.13	6.394	4957.956	0.288	0.478	0.523	-3.686	3.06	-1.876	-1.387	5006.586	0.288	0.478	0.523	-11.06	9.18	-5.629	-4.162			
120	44.3424	11	5		4857.916	1.423	1.989	1.457	3.027	2.733	6.408	6.292	4955.449	3.158	3.013	2.586	-0.4167	0.79	-1.337	-3.109	5004.079	3.158	3.013	2.586	-1.25	2.37	-4.01	-9.328			
121	42.912	11	5	595a5_888-481484.xlsx	4857.916	1.423	1.989	1.457	3.027	2.733	6.408	6.292	4955.449	3.158	3.013	2.586	-0.4167	0.79	-1.337	-3.109	5004.079	3.158	3.013	2.586	-1.25	2.37	-4.01	-9.328			
122	41.4816	11	5	595a5_888-485488.xlsx	4856.759	0.046	0.328	0.198	20.2	21.49	7.062	4.235	4952.398	2.379	5.011	2.663	0.7185	0.7001	3.832	3.772	5001.028	2.379	5.011	2.663	2.155	2.1	11.5	11.31			
123	40.0512	11	5	595a5_888-489492.xlsx	4856.246	1.162	2.329	2.787	-4.075	4.004	-10.1	-9.583	4955.677	1.903	3.909	3.312	-0.8594	0.8145	-3.576	-4.164	5004.307	1.903	3.909	3.312	-2.578	2.443	-10.73	-12.49			
124	38.6208	11	5	595a5_888-493496.xlsx	4858.302	0.746	1.074	0.887	3.439	4.372	3.933	5.133	4954.329	2.589	11.118	4.397	-1.096	0.404	-12.97	-5.83	5002.959	2.589	11.118	4.397	-3.288	1.212	-38.92	-17.49			
125	37.1904	11	5	595a5_888-497500.xlsx	4856.198	0	0.191	0	18.01	0	3.661	3.449	4957.083	0.114	0.516	0.513	-3.967	3.567	-2.178	-1.088	5005.713	0.114	0.516	0.513	-11.9	10.7	-6.534	-3.265			
126	35.76	11	5	595a5_888-501504.xlsx	4856.718	0.594	1.225	0.808	-4.573	3.948	-5.963	-5.489	4953.76	0.15	-0.174	0.216	-14.92	25.56	2.769	7.613	5002.39	0.15	-0.174	0.216	-44.76	76.68	8.306	22.84			
127	34.3296	11	5	595a5_888-505508.xlsx	4857.442	0.296	1.261	0.465	9.225	3.868	12.39	5.358	4952.83	0.42	1.352	0	1.432	0	2.062	3.426	5001.459	0.42	1.352	0	4.296	0	6.185	10.28			
128	32.8992	11	5	595a5_888-509512.xlsx	4857.123	0.05	0.319	0.19	21.09	25.3	7.169	5.259	4956.564	0.584	1.907	1.194	-2.3	1.008	-4.668	-2.884	5005.194	0.584	1.907	1.194	-6.901	3.025	-14	-8.651			
129	31.4688	11	5	595a5_888-513516.xlsx	4858.144	0.192	0.831	0.252	12.25	4.326	10.83	3.937	4957.03	0.335	1.608	0.519	-2.644	0.9195	-4.524	-1.738	5005.66	0.335	1.608	0.519	-7.931	2.759	-13.57	-5.213			
130	30.0384	11	5	595a5_888-517520.xlsx	4856.508	2.26	4.283	2.663	2.403	2.143	10.96	9.595	4955.598	0.608	1.168	0.828	1.941	1.693	2.414	1.722	5004.228	0.608	1.168	0.828	5.824	5.078	7.241	5.167			
131	28.608	11	5	595a5_888-521524.xlsx	4855.227	0.881	1.967	1.374	3.581	2.71	7.495	6.381	4956.761	0	0.421	0	-2.895	0	-1.297	-2.564	5005.391	0	0.421	0	-8.684	0	-3.892	-7.693			
132	27.1776	11	5	595a5_888-525528.xlsx	4851.643	0.555	2.541	1.453	6.447	3.032	17.44	8.289	4978.954	8.763	44.394	12.168	-0.768	0.1912	-36.29	-11.14	5027.583	8.763	44.394	12.168	-2.304	0.5735	-108.9	-33.41			
133	25.7472	11	5	595a5_888-529532.xlsx	4855.151	0.445	2.214	0.836	-7.758	2.982	-18.28	-7.286	4955.569	0.889	4.691	1.565	-1.892	0.6425	-9.449	-3.349	5004.199	0.889	4.691	1.565	-5.677	1.927	-28.35	-10.05			
134	24.3168	11	5	595a5_888-533536.xlsx	4869.612	0.13	0.728	0.253	14.45	5.037	11.2	4.09	4956.725	3.357	26.434	7.538	-1.149	0.311	-32.32	-9.284	5005.354	3.357	26.434	7.538	-3.446	0.9331	-96.95	-27.85			
135	22.8864	11	5	595a5_888-537540.xlsx	4857.778	0.356	1.705	0.638	8.689	3.363	15.77	6.172	4955.194	0.384	1.147	0.526	2.135	1.142	2.606	1.508	5003.824	0.384	1.147	0.526	6.404	3.426	7.817	4.525			
136	21.456	11	5	595a5_888-541544.xlsx	4857.67	0.177	0.815	0.355	12.44	5.1	10.79	4.67	4945.296	9.325	26.717	11.801	0.4056	0	11.53	12.21	4993.926	9.325	26.717	11.801	1.217	0	34.6	36.63			
137	20.0256	11	5	595a5_888-545548.xlsx	4856.728	0.029	0.254	0	-64.45	0	-17.46	-31.1	4957.425	0.356	0.918	0.564	-2.801	1.803	-2.736	-1.396	5006.055	0.356	0.918	0.564	-8.404	5.41	-8.209	-4.187			
138	18.5952	11	5	595a5_888-549552.xlsx	4857.736	0.125	0.909	0.306	15.43	4.636	14.94	4.544	4952.927	0.811	3.18	1.328	1.554	0.686	5.259	2.487	5001.557	0.811	3.18	1.328	4.661	2.058	15.78	7.46			
139	17.1648	11	5	595a5_888-553556.xlsx	4857.885	0.075	0.669	0.275	18.61	6.085	13.26	4.118	4953.136	1.142	2.781	2.104	1.064	0.5899	3.148	2.437	5001.766	1.142	2.781	2.104	3.191	1.77	9.445	7.31			
140	15.7344	11	5	595a5_888-557560.xlsx	4857.911	0.296	1.225	0.47	9.777	3.734	12.75	5.326	4954.238	0.002	-0.127	0.022	-356.5	425.8	48.09	49.83	5002.868	0.002	-0.127	0.022	-1070	1277	144.3	149.5			
141	14.304	11	5	595a5_888-561564.xlsx	4856.661	0	0.342	0	-24	0	-8.743	-15.53	4955.632	0	0.301	0	-2.682	0.8585	-0.8591	-1.076	5004.262	0	0.301	0	-8.046	2.575	-2.577	-3.228			
142	12.8736	11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0			
143	11.4432	11	5	595a5_888-569572.xlsx	4857.377	0.589	1.363	0.705	4.929	3.597	7.152	5.144	4950.229	0.696	3.165	2.264	-1.917	1.282	-6.459	-2.973	4998.859	0.696	3.165	2.264	-5.752	3.845	-19.38	-8.919			
144	10.0128	11	5	595a5_888-573576.xlsx	4857.947	0.211	0.878	0.403	9.774	4.707	9.139	4.937	4954.77	1.836	6.945	4.472	-1.193	0.6954	-8.82	-4.699	5003.4	1.836	6.945	4.472	-3.579	2.086	-26.46	-14.1			
145	8.5824	11	5	595a5_888-577580.xlsx	4856.396	0.076	-0.3	0.235	-19.63	23.8	6.277	4.393	4953.96	1.936	6.379	3.188	-1.04	0.4203	-7.06	-4.196	5002.59	1.936	6.379	3.188	-3.119	1.261	-21.18	-12.59			
146	7.152	11	5	595a5_888-581584.xlsx	4856.716	0	0.38	0	18.95	0	7.674	18.89	4953.195	0.749	1.828	1.948	-1.521	1.302	-2.96	-2.419	5001.825	0.749	1.828	1.948	-4.564	3.905	-8.88	-7.256			
147	5.7216	11	5	595a5_888-585588.xlsx	4854.692	0.985	2.993	1.69	-4.408	2.872	-14.05	-8.851	4961.282	0.519	2.911	0.844	2.92	0.8313	9.046	2.857	5009.912	0.519	2.911	0.844	8.759	2.494	27.14	8.571			
148	4.2912	11	5	595a5_888-589592.xlsx	4851.574	2.011	2.975	2.671	-2.985	2.722	-9.454	-9.259	4953.737	1.976	3.674	2.596	-0.8439	0.7507	-3.3	-3.02	5002.367	1.976	3.674	2.596	-2.532	2.252	-9.9	-9.061			
149	2.8608	11	5	595a5_888-593596.xlsx	4856.206	0	0.09	0	191.2	0	18.34	48.68	4954.309	1.505	3.677	3.741	-1.124	1.242	-4.4	-3.427	5002.939	1.505	3.677	3.741	-3.372	3.727	-13.2	-10.28			
150	1.4304	11	5	595a5_888-597600.xlsx	4857.902	0.742	1.738	0.979	5.153	4.387	9.533	6.872	4955.355	0	-0.214	0	-7.599	0	1.734	0	5003.985	0	-0.214	0	-22.8	0	5.201	0			
1	214.56	8	6	595a6_890-001004.xlsx	4857.599	0.164	0.746	0.44	13.29	5.846	10.55	4.805	4956.107	0.435	1.926	0.624	-2.533	0.9806	-5.193	-2.041	5004.737	0.435	1.926	0.624	-7.598	2.942	-15.58	-6.123			
2	213.1296	8	6	595a6_890-005008.xlsx	4852.743	0.13	-0.708	0.395	13.63	5.879	-10.28	-4.375	5012.812	42.627	148.935	67.483	-0.9962	0.214	-157.9	-95.51	5061.442	42.627	148.935	67.483	-2.989	0.6421	-473.8	-286.5			
3	211.6992	8	6	595a6_890-009012.xlsx	4856.693	0.021	0.334	0	21.55	0	7.666	10.89	4955.35	0.351	1.992	0.831	-2.959	1.007	-6.274	-2.275	5003.979	0.351	1.992	0.831	-8.877	3.022	-18.82	-6.825			
4	210.2688	8	6	595a6_890-013016.xlsx	4856.974	0.238	1.031	0.343	9.892	3.831	10.85	4.384	5106.132	209.76	654.457	920.149	-2.877	4.55	-2005	-5966	5154.762	209.76	654.457	920.149	-8.632	13.65	-6014	-17900			
5	208.8384	8	6	595a6_890-017020.xlsx	4355.949	0	1136.362	46.409	19.85	0	24010	0	4952.602	0.475	0.779	1.064	-1.953	2.323	-1.619	-1.34	5001.232	0.475	0.779	1.064	-5.859	6.969	-4.857	-4.02			
6	207.408	8	6	595a6_890-021024.xlsx	4814.131	28.218	201.828	59.25	4.867	0.8601	1046	455.2	4958.813	2.275	5.265	0	-0.7345	0	-4.116	-5.049	5007.443	2.275	5.265	0	-2.203	0	-12.35	-15.15			
7	205.9776	8	6	595a6_890-025028.xlsx	4860.211	0.723	2.504	1.848	5.405	3.067	14.41	8.567	4951.579	0.681	3.036	1.354	-2.024	0.8484	-6.54	-2.748	5000.208	0.681	3.036	1.354	-6.072	2.545	-19.62	-8.245			
8	204.5472	8	6	595a6_890-029032.xlsx	4858.716	0.22	0.645	0.518	11.55	7.903	7.931	4.298	4951.92	1.707	5.492	4.023	-1.437	0.8899	-8.401	-3.915	5000.55	1.707	5.492	4.023	-4.311	2.67	-25.2	-11.75			
9	203.1168	8	6	595a6_890-033036.xlsx	4871.019	1.417	4.604	1.931	4.09	1.865	20.04	10.12	4953.106	1.354	2.601	1.274	1.091	0.6882	3.022	2.112	5001.736	1.354	2.601	1.274	3.274	2.065	9.067	6.336			
10	201.6864	8	6	595a6_890-037040.xlsx	4865.542	1.105	3.696	2.248	4.543	2.69	17.87	9.817	5336.558	117.018	541.332	186.221	-2.466	0.9486	-1421	-769.6	5385.188	117.018	541.332	186.221	-7.399	2.846	-4263	-2309			
11	200.256	8	6	595a6_890-041044.xlsx	4846.772	0	0.127	0	12580	0	1697	700	4944.658	3.418	16.75	6.016	-1.033	0.4124	-18.42	-6.81	4993.288	3.418	16.75	6.016	-3.099	1.237	-55.26	-20.43			
12	198.8256	8	6	595a6_890-045048.xlsx	4858.54	1.763	7.02	2.942	-4.046	1.91	-30.23	-14.57	4952.417	1.307	3.864	1.556	-1.341	0.9056	-5.515	-3.603	5001.047	1.307	3.864	1.556	-4.023	2.717	-16.54	-10.81			
13	197.3952	8	6	595a6_890-049052.xlsx	4852.861	0.151	0.569	0.359	14.04	6.913	8.503	4.302	4957.334	0.735	2.742	1.26	-1.767	0.8672	-5.157	-2.696	5005.964	0.735	2.742	1.26	-5.301	2.602	-15.47	-8.087			
14	195.9648	8	6	595a6_890-053056.xlsx	4871.073	0.021	-0.21	0	-148.2	0	33.14	55	5054.482	166.57	287.925	314.881	-1.129	0.8169	-346.1	-620.9	5103.112	166.57	287.925	314.881	-3.387	2.451	-1038	-1863			
15	194.5344	8	6	595a6_890-057060.xlsx	4858.695	0.933	2.589	1.725	4.233	3.035	11.66	7.998	4953.26	3.626	29.686	6.224	-1.176	0.2308	-37.16	-10.06	5001.89	3.626	29.686	6.224	-3.528	0.6925	-111.5	-30.19			
16	193.104	8	6	595a6_890-061064.xlsx	4858.047	1.52	2.675	2.637	5.128	3.65	14.6	9.85	4953.049	1.671	3.64	2.428	-0.9719	0.5059	-3.766	-2.945	5001.679	1.671	3.64	2.428	-2.916	1.518	-11.3	-8.835			
17	191.6736	8	6	595a6_890-065068.xlsx	4860.018	0.352	0.236	0	-14.82	0	-3.724	-21.22	4997.652	15.998	95.202	25.816	-1.209	0.1759	-122.5	-36.36	5046.282	15.998	95.202	25.816	-3.626	0.5278	-367.5	-109.1			
18	190.2432	8	6	595a6_890-069072.xlsx	4442.976	0	1166.452	0	12.04	0	14950	0	4935.238	1.589	5.807	2.628	-1.156	0.6071	-7.143	-3.313	4983.868	1.589	5.807	2.628	-3.467	1.821	-21.43	-9.939			
19	188.8128	8	6	595a6_890-073076.xlsx	4815.904	90.055	119.575	201.464	2.975	1.004	378.7	716.2	4944.442	0.19	0.636	0.341	3.862	1.71	2.613	1.33	4993.072	0.19	0.636	0.341	11.59	5.129	7.839	3.99			
20	187.3824	8	6	595a6_890-077080.xlsx	4842.339	0.402	-1.539	1.153	7.643	4.453	-12.52	-6.822	4957.07	2.156	6.654	2.728	-0.9069	0.3902	-6.423	-3.94	5005.7	2.156	6.654	2.728	-2.721	1.171	-19.27	-11.82			
21	185.952	8	6	595a6_890-081084.xlsx	4857.913	0.661	2.699	1.104	6.255	2.866	17.97	8.199	5033.323	56.224	231.342	99.044	-1.358	0.3686	-334.3	-224.6	5081.953	56.224	231.342	99.044	-4.073	1.106	-1003	-673.8			
22	184.5216	8	6	595a6_890-085088.xlsx	4853.26	0.506	-1.898	0.831	6.524	3.125	-13.18	-6.605	5003.009	27.672	136.141	53.636	-1.22	0.1801	-176.9	-81.95	5051.639	27.672	136.141	53.636	-3.661	0.5404	-530.6	-245.9			
23	183.0912	8	6	595a6_890-089092.xlsx	4857.064	0.059	0.377	0.198	23.56	17.53	9.452	3.527	4950.588	0.228	0.755	0.477	-3.087	1.805	-2.479	-1.383	4999.218	0.228	0.755	0.477	-9.26	5.414	-7.437	-4.15			
24	181.6608	8	6	595a6_890-093096.xlsx	4856.725	0.059	-0.333	0.47	15.71	42.13	-5.568	-7.522	4957.139	0.186	0.571	1.015	-4.727	5.151	-2.876	-2.377	5005.769	0.186	0.571	1.015	-14.18	15.45	-8.627	-7.131			
25	180.2304	8	6	595a6_890-097100.xlsx	4857.083	0	0.231	0.127	35.93	55.89	8.827	9.294	5122.485	322.25	971.974	0	-3.767	0.9431	-3898	0	5171.115	322.25	971.974	0	-11.3	2.829	-11690	0			
26	178.8	8	6	595a6_890-101104.xlsx	4855.277	1.793	7.411	3.22	3.502	1.618	27.63	13.25	4953.422	0.021	0.238	0.064	-19.9	15.62	-5.037	-2.931	5002.052	0.021	0.238	0.064	-59.71	46.86	-15.11	-8.792			
27	177.3696	8	6	595a6_890-105108.xlsx	4857.443	0.398	1.018	0.764	6.481	4.907	7.026	4.315	5308.266	479.118	1049.284	588.967	-4.178	2.06	-4666	-4866	5356.896	479.118	1049.284	588.967	-12.53	6.18	-14000	-14600			
28	175.9392	8	6	595a6_890-109112.xlsx	4852.391	0.879	4.069	1.706	4.668	1.965	20.22	8.478	4966.634	0.385	3.671	0.72	-3.193	0.6198	-12.48	-2.539	5015.264	0.385	3.671	0.72	-9.58	1.859	-37.43	-7.618			
29	174.5088	8	6	595a6_890-113116.xlsx	4856.346	0.752	4.901	3.896	6.351	3.091	33.14	15.61	4957.118	0.592	1.487	1.377	-1.799	0.9413	-2.847	-2.294	5005.748	0.592	1.487	1.377	-5.397	2.824	-8.54	-6.883			
30	173.0784	8	6	595a6_890-117120.xlsx	4870.083	0.364	1.353	0.635	-6.929	3.546	-9.978	-4.94	4956.293	1.639	4.809	2.987	-0.9175	0.612	-4.696	-3.193	5004.923	1.639	4.809	2.987	-2.752	1.836	-14.09	-9.578			
31	171.648	8	6	595a6_890-121124.xlsx	4856.135	0.635	1.953	0.93	4.454	2.273	9.258	5.526	4956.639	1.173	1.618	1.348	-0.9161	0.635	-1.577	-1.64	5005.269	1.173	1.618	1.348	-2.748	1.905	-4.732	-4.921			
32	170.2176	8	6	595a6_890-125128.xlsx	4857.296	0.487	1.481	0.71	5.484	3.161	8.646	4.793	5316.532	94.781	616.36	166.353	-3.585	1.002	-2352	-1004	5365.162	94.781	616.36	166.353	-10.76	3.005	-7056	-3011			
33	168.7872	8	6	595a6_890-129132.xlsx	4857.973	3.917	12.1	4.179	1.863	1.034	24	14.39	4984.041	15.922	117.017	39.163	-0.9318	0.1341	-116.1	-40.22	5032.67	15.922	117.017	39.163	-2.795	0.4022	-348.2	-120.6			
34	167.3568	8	6	595a6_890-133136.xlsx	4832.068	1.021	10.543	1.978	-6.313	1.234	-70.85	-15.34	5470.985-1745.502	258.947	-9.606	0	17850	0	0	0	5519.615-1745.502	258.947	-28.82	0	53540	0	0	0			
35	165.9264	8	6	595a6_890-137140.xlsx	4413.79	0	1346.129	0	21.42	0	30690	0	4955.492	0.342	0.947	1.054	3.052	2.643	3.076	1.534	5004.122	0.342	0.947	1.054	9.157	7.928	9.227	4.601			
36	164.496	8	6	595a6_890-141144.xlsx	4823.186	9.476	52.524	20.815	3.329	0.6084	186.1	77.36	4954.659	2.105	16.86	4.846	-1.239	0.2999	-22.24	-7.06	5003.289	2.105	16.86	4.846	-3.717	0.8997	-66.72	-21.18			
37	163.0656	8	6	595a6_890-145148.xlsx	4857.919	0	-0.097	0	844900	0	-87560	-34100	4954.537	1.245	5.415	1.814	-1.176	0.5587	-6.781	-3.083	5003.167	1.245	5.415	1.814	-3.529	1.676	-20.34	-9.248			
38	161.6352	8	6	595a6_890-149152.xlsx	4854.8	2.038	4.581	3.674	2.587	2.055	12.61	9.398	4951.644	1.21	9.832	2.385	-1.675	0.3996	-17.53	-4.501	5000.273	1.21	9.832	2.385	-5.024	1.199	-52.58	-13.5			
39	160.2048	8	6	595a6_890-153156.xlsx	4837.321	14.97	128.008	43.997	4.002	0.4803	545.3	210.3	4947.256	0.182	0.743	0.404	-3.001	1.494	-2.372	-1.18	4995.886	0.182	0.743	0.404	-9.003	4.483	-7.116	-3.54			
40	158.7744	8	6	595a6_890-157160.xlsx	4695.9	61.759	632.616	0	6.593	0	4440	0	4954.996	0.383	1.984	0.545	2.303	0.791	4.863	1.737	5003.626	0.383	1.984	0.545	6.909	2.373	14.59	5.212			
41	157.344	8	6	595a6_890-161164.xlsx	4857.521	1.555	9.043	5.028	4.718	1.651	45.41	18.51	4956.623	0	0.626	0	3.145	0	2.094	6.999	5005.252	0	0.626	0	9.434	0	6.283	21			
42	155.9136	8	6	595a6_890-165168.xlsx	4857.525	0.027	0.302	0	22.73	0	7.304	10.48	5006.15	29.895	135.512	58.033	-0.9874	0.1594	-142.4	-72.54	5054.78	29.895	135.512	58.033	-2.962	0.4783	-427.3	-217.6			
43	154.4832	8	6	595a6_890-169172.xlsx	4856.841	0.904	3.054	1.165	4.398	2.086	14.3	7.614	4954.473	0.519	1.76	0.535	1.837	0.8967	3.441	1.74	5003.103	0.519	1.76	0.535	5.512	2.69	10.32	5.22			
44	153.0528	8	6	595a6_890-173176.xlsx	4857.509	0.063	0.622	0.3	22.3	8.258	14.76	3.996	4956.543	0	-0.132	0	13.63	0	-1.916	0	5005.173	0	-0.132	0	40.89	0	-5.748	0			
45	151.6224	8	6	595a6_890-177180.xlsx	4857.508	0.033	-0.284	0.136	20.16	23.63	-6.086	-4.909	4954.389	0.977	3.836	1.679	-1.374	0.58	-5.611	-2.888	5003.019	0.977	3.836	1.679	-4.122	1.74	-16.83	-8.664			
46	150.192	8	6	595a6_890-181184.xlsx	4787.894	0	270.513	0	5.533	0	1593	0	4951.486	0.042	-0.318	0	-7.469	0	2.526	5.95	5000.116	0.042	-0.318	0	-22.41	0	7.579	17.85			
47	148.7616	8	6	595a6_890-185188.xlsx	4855.612	1.571	4.875	2.524	3.797	2.024	19.7	9.766	4956.901	0.183	0.684	0.263	3.385	1.609	2.465	1.116	5005.531	0.183	0.684	0.263	10.15	4.827	7.394	3.347			
48	147.3312	8	6	595a6_890-189192.xlsx	4855.701	0.321	1.367	0.388	8.719	3.383	12.69	4.905	4954.699	0.763	2.062	0.989	1.325	1.281	2.908	2.346	5003.329	0.763	2.062	0.989	3.975	3.844	8.725	7.038			
49	145.9008	8	6	595a6_890-193196.xlsx	4855.815	0.059	0.148	0.146	-22.46	41.11	-3.532	-3.34	4952.652	0.714	2.558	0.77	-1.662	0.6166	-4.526	-2.106	5001.282	0.714	2.558	0.77	-4.987	1.85	-13.58	-6.319			
50	144.4704	8	6	595a6_890-197200.xlsx	4855.81	0.242	-0.735	0.439	-8.642	5.23	6.764	3.84	4956.351	0.179	0.85	0.293	-4.128	1.373	-3.733	-1.29	5004.981	0.179	0.85	0.293	-12.38	4.12	-11.2	-3.869			
51	143.04	8	6	595a6_890-201204.xlsx	4855.79	0.313	1.626	0.436	-8.978	3.126	-15.54	-5.427	4967.005	0.695	3.055	1.297	-1.73	0.7474	-5.626	-2.525	5015.635	0.695	3.055	1.297	-5.189	2.242	-16.88	-7.575			
52	141.6096	8	6	595a6_890-205208.xlsx	4857.125	0	0.136	0	2844	0	412.7	226.1	4955.051	0.074	-0.453	0.364	4.404	4.548	-2.123	-0.9789	5003.681	0.074	-0.453	0.364	13.21	13.65	-6.369	-2.937			
53	140.1792	8	6	595a6_890-209212.xlsx	4853.435	0.101	0.601	0.3	13.79	5.585	8.82	3.626	5075.987	164.294	281.59	236.359	-1.403	1.065	-420.6	-661.3	5124.617	164.294	281.59	236.359	-4.209	3.196	-1262	-1984			
54	138.7488	8	6	595a6_890-213216.xlsx	4857.944	0.443	1.931	0.628	6.513	2.595	13.39	5.401	4956.238	0.943	2.084	0.99	-0.9658	0.602	-2.142	-1.692	5004.868	0.943	2.084	0.99	-2.897	1.806	-6.427	-5.077			
55	137.3184	8	6	595a6_890-217220.xlsx	4857.521	0	0.082	0	63650000	0	5589000	1476000	5041.174	93.01	196.292	136.799	-1.404	0.6521	-293.3	-332.5	5089.804	93.01	196.292	136.799	-4.212	1.956	-880	-997.4			
56	135.888	8	6	595a6_890-221224.xlsx	4857.155	0.116	0.33	0.037	141.6	28.24	49.69	4.924	4953.174	0	0.171	0.198	-7.773	0	-1.418	0	5001.804	0	0.171	0.198	-23.32	0	-4.253	0			
57	134.4576	8	6	595a6_890-225228.xlsx	4857.898	0.299	1.351	0.618	9.774	4.051	14.05	5.836	4954.463	0.135	1.219	0.294	5.926	1.33	7.687	1.765	5003.093	0.135	1.219	0.294	17.78	3.989	23.06	5.294			
58	133.0272	8	6	595a6_890-229232.xlsx	4857.63	0.237	1.336	0.487	11.93	4.196	16.97	6.082	4955.87	0.289	1.639	0.438	3.586	1.144	6.257	1.998	5004.5	0.289	1.639	0.438	10.76	3.433	18.77	5.995			
59	131.5968	8	6	595a6_890-233236.xlsx	4859.866	1.062	2.558	1.332	-3.593	2.422	-9.781	-6.981	4954.608	0.358	1.391	0.411	2.456	1.217	3.635	1.695	5003.238	0.358	1.391	0.411	7.368	3.65	10.91	5.084			
60	130.1664	8	6	595a6_890-237240.xlsx	4854.431	1.496	8.377	2.49	4.49	1.462	40.03	14.04	4954.191	0.34	1.927	0.602	3.14	1.015	6.441	2.167	5002.821	0.34	1.927	0.602	9.419	3.044	19.32	6.5			
61	128.736	8	6	595a6_890-241244.xlsx	4857.963	0.354	2.3	0.765	13.2	3.697	32.32	8.883	4954.458	0.354	2.419	0.602	4.073	1.022	10.49	2.71	5003.088	0.354	2.419	0.602	12.22	3.065	31.46	8.13			
62	127.3056	8	6	595a6_890-245248.xlsx	4857.749	0.297	1.583	0.599	13.91	4.322	23.44	7.4	4954.205	0.088	0.674	0.365	8.164	2.949	5.857	1.895	5002.835	0.088	0.674	0.365	24.49	8.847	17.57	5.684			
63	125.8752	8	6	595a6_890-249252.xlsx	4514.463	0	516.947	98.797	18.42	0	10130	0	4954.956	0.076	0.704	0.223	8.365	1.979	6.266	1.513	5003.586	0.076	0.704	0.223	25.1	5.938	18.8	4.539			
64	124.4448	8	6	595a6_890-253256.xlsx	4699.344	144.99	554.618	410.9	11.19	7.122	6604	9057	4954.559	0.155	1.86	0.452	6.954	1.252	13.77	2.613	5003.188	0.155	1.86	0.452	20.86	3.756	41.3	7.84			
65	123.0144	8	6	595a6_890-257260.xlsx	4858.749	0.85	2.997	1.742	10.19	4.097	32.5	11.15	4954.544	0.11	1.201	0.25	7.635	1.388	9.758	1.796	5003.174	0.11	1.201	0.25	22.9	4.164	29.27	5.389			
66	121.584	8	6	595a6_890-261264.xlsx	4857.745	0.079	1.094	0.166	31.33	4.519	36.47	5.275	4954.577	0.054	1.077	0.138	13.98	1.507	16.03	1.753	5003.207	0.054	1.077	0.138	41.94	4.52	48.1	5.26			
67	120.1536	8	6	595a6_890-265268.xlsx	4857.774	0.061	1.038	0.174	40.01	5.25	44.2	5.841	4954.74	0.034	1.112	0.099	23.52	1.619	27.85	1.926	5003.37	0.034	1.112	0.099	70.56	4.858	83.54	5.779			
