Pos	X	Y	Slit	Archivo	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL			
42	155.9136	22	1	595a1_880-165168.xlsx	4855.997	0	-0.695	0	-8.404	0	6.219	6.003	4854.194	0	-0.097	0	10.44	0	-1.081	-1.551	4902.824	0	-0.097	0	31.31	0	-3.242	-4.652			
43	154.4832	22	1	595a1_880-169172.xlsx	4857.69	0.921	2.181	1.653	3.125	2.362	7.257	5.967	4956.723	0.4	1.645	0.621	-1.998	0.8225	-3.498	-1.628	5005.353	0.4	1.645	0.621	-5.993	2.468	-10.49	-4.883			
44	153.0528	22	1	595a1_880-173176.xlsx	4857.057	0.457	1.715	0.696	7.281	2.942	13.29	5.865	4947.938	0.83	2.877	0.973	1.375	0.5775	4.212	2.003	4996.568	0.83	2.877	0.973	4.125	1.732	12.64	6.008			
45	151.6224	22	1	595a1_880-177180.xlsx	4858.159	0.728	1.478	1.769	3.883	3.663	6.109	5.457	4953.574	0	0.033	0	-319900000	0	-11150000	-1873000	5002.204	0	0.033	0	-959800000	0	-33440000	-5618000			
46	150.192	22	1	595a1_880-181184.xlsx	4855.417	0.416	1.545	0.767	-6.462	3.283	-10.63	-5.114	4954.153	0.101	-0.124	0.042	-14.4	12.09	1.901	1.089	5002.783	0.101	-0.124	0.042	-43.19	36.26	5.703	3.268			
47	148.7616	22	1	595a1_880-185188.xlsx	4863.739	1.334	3.711	1.58	2.833	1.704	11.19	7.156	4950.71	4.913	7.474	5.312	0.3475	0.2349	2.764	2.702	4999.34	4.913	7.474	5.312	1.042	0.7047	8.293	8.107			
48	147.3312	22	1	595a1_880-189192.xlsx	4857.086	0.177	0.736	0.277	13.99	4.733	10.96	3.533	4951.518	0.034	-0.27	0	9.841	0	-2.825	-4.972	5000.147	0.034	-0.27	0	29.52	0	-8.476	-14.92			
49	145.9008	22	1	595a1_880-193196.xlsx	4855.54	0.258	1.149	0.514	-7.226	3.371	-8.839	-4.402	4955.389	0.402	1.576	0.864	2.026	1.019	3.399	1.68	5004.019	0.402	1.576	0.864	6.077	3.056	10.2	5.04			
50	144.4704	22	1	595a1_880-197200.xlsx	4718.465	104.503	545.98	0	7.493	0	4355	0	4952.236	0	-0.203	0.039	-41.87	28.74	9.033	4.568	5000.866	0	-0.203	0.039	-125.6	86.21	27.1	13.71			
51	143.04	22	1	595a1_880-201204.xlsx	4858.3	0.043	0.35	0.332	20.64	34.84	7.696	6.174	4952.715	1.174	3.116	1.419	1.162	0.5431	3.855	2.296	5001.345	1.174	3.116	1.419	3.487	1.629	11.57	6.887			
52	141.6096	22	1	595a1_880-205208.xlsx	4857.344	0.137	0.793	0.173	15.13	4.018	12.77	3.407	4965.261	1.189	5.995	2.278	-1.354	0.4529	-8.639	-3.326	5013.891	1.189	5.995	2.278	-4.061	1.359	-25.92	-9.978			
53	140.1792	22	1	595a1_880-209212.xlsx	4855.792	1.032	4.26	1.556	4.368	2.037	19.81	8.94	4953.675	2.604	3.725	9.656	0.7057	2.326	2.798	4.003	5002.305	2.604	3.725	9.656	2.117	6.978	8.394	12.01			
54	138.7488	22	1	595a1_880-213216.xlsx	4857.666	0.643	1.942	0.879	5.314	2.904	10.98	5.655	4953.888	0	-0.104	0	5605	0	-622.2	-300.8	5002.518	0	-0.104	0	16820	0	-1867	-902.3			
55	137.3184	22	1	595a1_880-217220.xlsx	4856.231	0.977	3.921	1.351	4.726	1.926	19.72	8.259	4954.306	0.099	0.6	0.365	4.714	2.052	3.013	1.271	5002.936	0.099	0.6	0.365	14.14	6.157	9.039	3.813			
56	135.888	22	1	595a1_880-221224.xlsx	4857.25	0.059	0.215	0.408	17.14	26.55	3.926	3.433	4954.258	0.038	-0.207	0.114	38.74	102.2	-8.533	-17.86	5002.888	0.038	-0.207	0.114	116.2	306.6	-25.6	-53.58			
