RA	DE	Hbeta	RVHbeta	SigmHbeta	[OIII]4959	RV[OIII]4959	Sigm[OIII]4959	[OIII]5007	RV[OIII]5007	Sigm[OIII]5007
87.2544	19.6	8.14E+00	0263.59 	34.2066069	02.05E+00	0215.04 	20.54131853	06.16E+00	0235.080508	19.24319289
85.824	19.6	2.30E+01	0244.78 	9.180811777	8.51E+00	0311.52 	2.249678248	2.55E+01	0330.6212492	0
84.3936	19.6	3.21E+01	0239.23 	17.83415232	8.78E+00	0307.23 	13.30399196	2.63E+01	0326.3710032	11.40705045
82.9632	19.6	4.95E+01	0241.33 	12.87204905	9.30E+00	0304.02 	17.74253412	2.79E+01	0323.1982843	16.28615104
81.5328	19.6	2.66E+01	0250.02 	16.84851524	6.02E+00	0299.73 	0	1.81E+01	0319.007901	0
80.1024	19.6	3.63E+00	0345.99 	126.1450479	2.32E+00	0208.32 	19.57109101	6.97E+00	0228.4357572	18.22471291
78.672	19.6	1.18E+00	0160.72 	3014.103544	04.33E+00	095.70 	0	01.30E+01	0116.9116965	0
77.2416	19.6	03.18E+00	0155.35 	197.4178639	02.09E+01	0117.04 	0	06.25E+01	0138.0432013	0
75.8112	19.6	1.84E+01	0259.52 	0	02.13E+00	0145.88 	60.36432146	06.39E+00	0166.5976709	59.4093089
74.3808	19.6	01.91E+01	 27.01 	0	03.45E+00	 167.58 	0	01.04E+01	143.7900128	0
72.9504	19.6	3.04E+01	0110.33 	0	02.04E+00	0473.84 	73.16845589	06.13E+00	0491.3523834	72.15222316
71.52	19.6	4.08E+01	0291.40 	0	01.79E+00	0251.31 	53.19153309	05.38E+00	0270.9980799	52.25719884
70.0896	19.6	7.18E+01	0193.84 	0	08.98E001	0416.05 	77.50050126	02.70E+00	0434.1237188	76.4587338
68.6592	19.6	6.76E+00	0966.29 	11.65583443	1.33E+01	0192.18 	0	4.00E+01	0212.4524377	0
67.2288	19.6	8.78E+00	0188.10 	51.12995295	01.01E+00	0647.65 	207.9960251	03.04E+00	0663.4574153	205.8554636
65.7984	19.6	5.43E+00	0345.37 	28.388827	05.58E+00	0265.57 	0	01.67E+01	0285.1256581	0
64.368	19.6	01.19E+01	0221.53 	8.523805601	01.88E+00	0162.68 	69.1666069	05.64E+00	0183.2993419	68.17207451
62.9376	19.6	03.24E+00	0484.38 	130.9863454	1.89E+04	0330.50 	0	5.68E+04	0349.4181118	0
61.5072	19.6	01.74E+01	0312.93 	0	4.94E+00	0323.01 	0	1.48E+01	0341.995147	0
60.0768	19.6	05.59E+00	0424.12 	18.31658161	2.98E+00	0343.92 	61.99830808	8.94E+00	0362.767476	61.03696816
58.6464	19.6	6.23E+00	01,060.40 	141.874077	5.34E+00	0327.00 	19.78080317	1.60E+01	0345.9460799	18.44537963
57.216	19.6	02.89E+01	0358.94 	0	1.90E+00	0385.03 	38.53064524	5.70E+00	0403.4141949	37.58020891
55.7856	19.6	08.33E+00	0540.44 	12.22748643	01.18E+00	0740.14 	80.05667829	03.52E+00	0755.0472236	78.99898354
54.3552	19.6	02.46E+01	0311.14 	0	01.20E+00	 86.27 	125.5155238	03.60E+00	63.27478914	124.1126026
