RA	DE	Halpha	RVHalpha	SigmHalpha	[NII]6548	RV[NII]6548	Sigm[NII]6548	[NII]6584	RV[NII]6584	Sigm[NII]6584	[SII]6717	RV[SII]6717	Sigm[SII]6717	[SII]6731	RV[SII]6731	Sigm[SII]6731
83.142	19.6	118.3	-285.6401804	14.08903725	9.474	-293.1075724	12.18779768	28.42	-268.7790345	12.05676538	29.64	-242.6547516	22.60935884	19.63	-268.8373959	22.53645862
81.801	19.6	145.2	-288.6550936	19.44935121	10.7	-291.3677899	15.39681184	32.1	-267.0485019	15.26257611	29.6	-252.5198547	19.16743453	18.21	-278.6805146	19.09815631
80.46	19.6	174.5	-290.0255086	16.70994856	12.94	-285.095416	25.3360026	38.81	-260.8094765	25.1695038	48.64	-245.1545063	14.35734838	26.75	-271.3315799	14.28987057
79.119	19.6	464.6	-286.690832	11.6531397	20.5	-286.926766	16.50169617	61.5	-262.6310898	16.36510375	10.25	-245.9133603	863.9838301	0.4231	-272.0887428	862.0578575
77.778	19.6	969.9	-282.6709478	14.31909697	66.91	-285.3243348	14.0282056	200.7	-261.0371782	13.8961164	177.1	-238.9943967	12.50166124	122	-265.185198	12.43303582
76.437	19.6	1621	-277.874495	12.66094487	117.5	-279.2808797	13.55938475	352.5	-255.0258545	13.42779123	367.1	-234.3519952	8.538966155	250.8	-260.5531422	8.460141134
75.096	19.6	1483	-271.2508222	12.66094487	119.7	-273.6036946	13.76862172	359.1	-249.3788534	13.63682389	343.3	-226.7634544	9.464958257	240.7	-252.9815124	9.389955161
73.755	19.6	589.1	-269.9717681	13.05658664	53.02	-272.230182	14.46480796	159.1	-248.0126435	14.33214005	193.6	-227.566947	10.85815222	137.9	-253.7832144	10.78699393
72.414	19.6	177.9	-269.4692826	13.59311924	19.3	-270.9940208	15.71897389	57.91	-246.7830545	15.58410232	60.21	-226.3170697	13.1461411	50.14	-252.5361224	13.07808403
71.073	19.6	63.77	-263.0283318	10.89310578	8.968	-277.0832596	17.58072107	26.91	-252.8399186	17.44139856	17.33	-236.2268112	5.788587825	21.8	-262.4683191	5.687110983
69.732	19.6	41.61	-266.4543695	10.48224197	5.1	-291.4135736	25.6166846	15.3	-267.0940422	25.44904229	24.45	-231.6736867	0	15.38	-257.8808023	0
68.391	19.6	35.95	-269.7890461	0	4.259	-321.7224166	52.64682599	12.78	-297.2417415	52.35162391	20.98	-239.1729506	0	57.45	-265.363354	0
67.05	19.6	38.53	-271.3421832	17.0002364	3.592	-126.3631521	201.1712553	10.78	-102.9211484	200.0976813	16.01	-215.8716665	0	10.1	-242.1585357	0
65.709	19.6	27.15	-277.8288145	8.386099967	3.809	-89.7361515	242.9100065	11.43	-66.48888349	241.6152066	16.42	-234.9769339	12.53137362	8.023	-261.1766882	12.46277896
64.368	19.6	24.4	-264.4444274	15.16489679	5.656	-271.4518583	34.61855052	16.97	-247.2384578	34.41123104	22.51	-244.6188446	19.02239409	10.74	-270.7971119	18.95323627
63.027	19.6	27.78	-271.3878637	14.54717477	3.373	30.40041051	185.8357749	10.12	53.00894547	184.8434052	22.11	-246.7614914	0	0.4174	-272.9349838	0
61.686	19.6	47.56	-273.9459718	2.227968962	7.544	-283.9508222	11.31539035	22.63	-259.6709683	11.18385848	-5.457	91.196405	100.441385	-0.547	64.26977507	100.212486
60.345	19.6	37.52	-272.0730713	8.507972865	3.464	-90.05663775	222.3844905	10.39	-66.80766581	221.1985133	15.92	-234.3519952	22.26653544	20.22	-260.5531422	22.1940522
59.004	19.6	49.97	-277.234968	0	3.825	-23.85333415	245.616525	11.48	-0.956346954	244.3073719	12.4	-236.9410268	15.22454856	6.411	-263.1364041	15.15716391
57.663	19.6	71.21	-282.9450308	7.84110647	8.194	-296.4040024	14.89595154	24.58	-272.0579383	14.76261134	21.63	-239.6639738	0	5.522	-265.853283	0
56.322	19.6	1041	-286.0969854	3.598082541	64.99	-288.6207648	7.488541267	195	-264.316082	7.340437913	138.7	-242.6993901	0	94.74	-268.8819349	0
54.981	19.6	1275	-286.782193	4.306620887	83.5	-290.4978986	8.6579574	250.5	-266.1832356	8.518436359	166.2	-243.5921596	0	108.2	-269.7727149	0
53.64	19.6	223.9	-283.3561553	9.550963917	24.43	-289.7195748	3.56729666	73.28	-265.40905	3.314988175	54.22	-240.7799357	0	33.21	-266.966758	0
52.299	19.6	786.3	-284.9092924	2.831770166	58.42	-289.8569261	0	175.3	-265.545671	0	106.1	-243.2796903	0	66.34	-269.4609419	0
50.958	19.6	658.6	-286.0513049	5.352992113	45.12	-286.0568748	5.436992745	135.4	-261.7658235	5.257935906	74.32	-242.7440286	7.094278677	53.62	-268.9264739	7.006381704
49.617	19.6	96.5	-279.8844371	11.91005236	11.14	-291.1388711	10.10127592	33.41	-266.8208002	9.96755565	16.97	-240.0210816	0	19.18	-266.209595	0
48.276	19.6	32.38	-263.0283318	0	3.777	38.82462065	219.5798302	11.33	61.3883664	218.4087183	-3.516	-329.6997784	46.5081981	-8.829	-355.6884433	46.39361342
46.935	19.6	-16.38	-114.1555751	66.68659284	21.72	-298.9678925	0	65.17	-274.6081969	0	4.511	-176.3666158	124.1852122	5.793	-202.6969829	123.9043689
45.594	19.6	-20.07	-125.7127421	54.76660707	2.058	-207.9955797	63.99694576	6.175	-184.1195589	63.64411115	17.36	-227.7008624	0	12.13	-253.9168314	0
44.253	19.6	-16.75	-123.6571195	58.68968705	3.075	-251.0323054	28.81801998	9.226	-226.9274702	28.63685388	-2.678	-316.9331745	60.26969521	3.141	-342.9502897	60.12694178
42.912	19.6	32.49	-263.6678588	1.771957983	6.427	-312.5198827	27.28933561	19.28	-288.0881349	27.11472984	10.33	-222.4335223	0	326.5	-248.6612295	0
41.571	19.6	-15.17	-135.8994941	58.30824905	2.692	-258.8613268	54.92091115	8.075	-234.7148668	54.61425181	6.246	-239.4407814	2541.318285	-16.24	-265.630588	2535.654769
40.23	19.6	-16.65	37.86913634	461.2947236	2.194	-303.8209701	25.44402638	6.582	-279.435472	25.2770884	-2.91	-279.035109	206.9893019	-1.181	-305.1812188	206.5255692
38.889	19.6	-22.36	-123.794161	50.98466951	2.303	-294.2979499	41.28447571	6.909	-269.9630831	41.04547327	20.68	-247.6988993	0	0.3049	-273.8703028	0
37.548	19.6	-18.06	-138.5489632	54.84727744	2.629	-272.230182	53.84430716	7.887	-248.0126435	53.54307862	7.362	-135.2545801	11.17983333	-9.442	-161.6765651	11.10931503
36.207	19.6	-21.65	-167.7844847	30.32221835	3.271	-36.58121686	223.6309714	9.814	-13.61655902	222.4383872	8.059	-149.5835307	31.44896076	4.63	-175.9735837	31.36269401
34.866	19.6	31.55	-262.3888048	0	3.107	-88.36263897	187.7456773	9.322	-65.12267355	186.7431973	-4.431	-115.524374	35.42361218	8.72	-141.9903277	35.3303045
33.525	19.6	-18.96	-120.2310819	64.513144	7.2	-284.9580648	6.252274682	21.6	-260.6728555	6.088913752	-3.116	-375.1863848	24.27854253	8.948	-401.073683	24.2034719
32.184	19.6	-13.9	-131.0573609	62.21568223	2.095	-48.71391081	250.1726555	6.284	-25.68474677	248.8393384		-299792	0		-299792	0
30.843	19.6	-18.96	-124.4793686	79.72044865	3.976	-142.6163836	36.59357054	11.93	-119.087966	36.3770067		-299792	0		-299792	0
29.502	19.6	34.43	-269.7433656	0	4.652	-303.5920513	0	13.95	-279.2077703	0		-299792	0		-299792	0
28.161	19.6	-13.54	64.77495215	422.5231288	5.589	-289.3533048	7.488541267	16.77	-265.0447273	7.340437913		-299792	0		-299792	0
26.82	19.6	-19.11	-119.8199573	59.75285023	21.71	-286.377361	0	65.13	-262.0846058	0		-299792	0		-299792	0
25.479	19.6	58.19	-285.3204169	0	3.392	-84.24210141	263.2558529	10.18	-61.02404375	261.8531359		-299792	0		-299792	0
24.138	19.6	-15.19	34.07765466	282.0398278	38.67	-286.3315773	0	116	-262.0390655	0		-299792	0		-299792	0
22.797	19.6	-15.9	72.08383251	335.8154794	3.329	-266.0035919	12.54421496	9.988	-241.8191584	12.41317946		-299792	0		-299792	0
21.456	19.6	21.81	-433.0968416	4.588659722	3.864	-43.08250947	208.5548301	11.59	-20.08328604	207.4421414		-299792	0		-299792	0
20.115	19.6	-19.5	-142.0663619	68.06053957	4.466	-180.0674918	20.40808514	13.4	-156.3399569	20.2600959		-299792	0		-299792	0
18.774	19.6	-22.03	-111.2320229	52.30171428	4.338	-287.2472523	9.540532575	13.02	-262.9498721	9.405049599		-299792	0		-299792	0
17.433	19.6	-22.38	-318.9412665	6.64659688	2.175	-267.1939695	73.71665506	6.524	-243.003207	73.31380247		-299792	0		-299792	0
16.092	19.6	-19.19	-187.5184616	23.26786421	-6.619	-759.1861552	732.4758756	-19.86	-732.3796057	728.5804038		-299792	0		-299792	0
14.751	19.6	-17.73	-137.8180752	59.99339793	3.563	-237.8008015	128.5208893	10.69	-213.7663144	127.8313151		-299792	0		-299792	0
13.41	19.6	-16.56	-142.6145279	58.93051144	2.452	80.30469884	99.25687804	7.357	102.6479064	98.72104561		-299792	0		-299792	0
12.069	19.6	-16.54	-118.7693058	56.19722546	-9.588	-437.0516848	0	-28.76	-411.9578356	0		-299792	0		-299792	0
10.728	19.6	-13.99	-13.24734565	440.0747398	5.949	-279.6929334	0	17.85	-255.4357175	0		-299792	0		-299792	0
9.387	19.6	-14.1	-351.3287426	23.43100903	302.5	-217.9306536	0	907.6	-194.0018107	0		-299792	0		-299792	0
8.046	19.6	-20.38	-7.445921863	754.3608146	2.774	-317.2813928	96.17968327	8.321	-292.8243293	95.65995192		-299792	0		-299792	0
6.705	19.6	-17.65	-78.52478332	40.25754808	3.326	-91.06388027	173.4191991	9.977	-67.80955309	172.4925347		-299792	0		-299792	0
5.364	19.6	-16.92	-167.1449576	74.39589764	2.238	-24.54009041	152.8640166	6.715	-1.639451922	152.0460143		-299792	0		-299792	0
4.023	19.6	-20.2	-126.3065887	49.11553297	3.804	-413.7935394	16.3559855	11.41	-388.8233474	16.2197312		-299792	0		-299792	0
2.682	19.6	-15.64	-54.31411715	429.648729	3.741	-400.2873329	19.65518254	11.22	-375.3889497	19.50968066		-299792	0		-299792	0
1.341	19.6	-22.08	-145.4923996	68.65747457	3.241	-290.2231961	27.82166211	9.722	-265.9099936	27.64479144		-299792	0		-299792	0
0	19.6	-11.18	-170.3425928	114.5143692	2.225	6.867562615	249.6664288	6.675	29.60121525	248.3357967		-299792	0		-299792	0
199.809	17.3	962.4	-321.8648187	0	3.912	-72.1551912	252.1196582	11.74	-49.00139632	250.7760143	76.53	-210.7828803	0	21.12	-237.0365509	0
198.468	17.3	-13.41	64.40950814	440.3271347	4.194	-262.2035406	47.60077003	12.58	-238.039311	47.33077467	-21.68	-271.5804836	0	196.3	-297.7432061	0
197.127	17.3	-17.14	-346.8063729	20.43332535	2.89	-4.257888821	244.1756541	8.671	18.53491478	242.8741423	-2.913	-169.1798213	147.7271935	-2.902	-195.5262041	147.3945399
195.786	17.3	-16.82	-24.5761102	506.6433178	3.236	-272.596452	23.70443689	9.708	-248.3769661	23.54442124	-16.96	-247.7435378	0	-14.08	-273.9148418	0
194.445	17.3	-11.97	15.66841226	344.7306953	8.486	-302.172755	0	25.46	-277.7960201	0	-29.39	-248.9487767	0	13.22	-275.1173947	0
193.104	17.3	-15.63	-1.918581093	370.3084757	11.71	-402.5307367	0	35.14	-377.6204259	0	-7.356	-177.6164932	28.75452502	3.209	-203.9886139	28.67274549
