,X,Y,Center,Peak,Width,RV,Sig
657,123.37,10.0,6556.668000000001,8308.0,0.857,-254.1638410510136,
658,122.03,10.0,6556.590999999999,9271.0,0.9640000000000001,-257.6812451077181,
659,120.69,10.0,6556.661999999999,13560.0,0.878,-254.43792448405537,
660,119.35,10.0,6556.74,18940.0,0.868,-250.8748398552188,
661,118.01,10.0,6556.808000000001,11470.0,0.9520000000000001,-247.76856094799382,
662,116.67,10.0,6556.803000000001,2189.0,1.345,-247.9969638088204,16.107282664927723
663,115.33,10.0,6556.420999999999,422.3,2.4930000000000003,-265.4469423756558,43.7972341854671
664,113.99,10.0,6557.274,767.1,2.011,-226.48141431944623,33.17981205668378
665,112.64,10.0,6557.191999999999,1003.0,1.921,-230.2272212369773,31.10744820858847
666,111.3,10.0,6557.1990000000005,948.6,1.932,-229.90745723176192,31.362867033985953
667,109.96,10.0,6557.146,838.5,2.39,-232.32852755650714,41.579448482119595
668,108.62,10.0,6557.2880000000005,1542.0,1.285,-225.8418863091401,14.143442608482234
669,107.28,10.0,6557.253000000001,4723.0,0.9840000000000001,-227.44070633488465,
670,105.94,10.0,6557.059,7425.0,0.9990000000000001,-236.30273733478174,
671,104.6,10.0,6556.7390000000005,6408.0,1.1440000000000001,-250.92052042735088,8.432009800762486
672,103.26,10.0,6556.6,12190.0,0.9520000000000001,-257.270119958197,
673,101.92,10.0,6556.67,10970.0,0.951,-254.07247990670788,
674,100.58,10.0,6556.7390000000005,5006.0,1.0190000000000001,-250.92052042735088,
675,99.23,10.0,6556.775,4942.0,1.081,-249.27601982947425,4.280952727364751
676,97.89,10.0,6556.679,3960.0,1.0859999999999999,-253.6613547572283,4.7334608139141485
677,96.55,10.0,6556.689,2627.0,1.052,-253.20454903557516,
678,95.21,10.0,6556.763000000001,1735.0,0.991,-249.82418669539152,
679,93.87,10.0,6556.746,1167.0,1.058,-250.60075642221858,
