,X,Y,Center,Peak,Width,RV,Sig
679,93.87,11.0,6578.392,502.8,0.8440000000000001,-202.14856571673573,10.795976826032321
680,92.529,11.0,6578.404,358.9,0.8690000000000001,-201.60211410993873,11.514116217602389
681,91.18799999999999,11.0,6578.299,196.7,0.988,-206.38356566918497,14.671379665394296
682,89.84700000000001,11.0,6578.281,190.5,0.87,-207.20324307933907,11.542333806440178
683,88.506,11.0,6578.316,217.0,0.865,-205.6094258929375,11.400875624121849
814,113.985,8.0,6578.3859999999995,63.88,1.321,-202.42179152013426,22.425662564066602
815,112.64399999999999,8.0,6578.526999999999,101.4,0.996,-196.00098514062114,14.872371666844613
816,111.303,8.0,6578.592,88.05,1.08,-193.0410389372684,16.92419145853073
823,101.916,8.0,6578.595,128.9,0.8490000000000001,-192.9044260355484,10.94166599742093
824,100.575,8.0,6578.558000000001,232.5,0.774,-194.5893184897219,8.612787326318779
825,99.234,8.0,6578.545,386.2,0.78,-195.1813077304256,8.812968576825932
826,97.89299999999999,8.0,6578.549,826.4,0.745,-194.9991571948404,7.5960302676886196
827,96.552,8.0,6578.429,1613.0,0.741,-200.46367326252084,7.448214360422005
828,95.211,8.0,6578.378000000001,1102.0,0.7759999999999999,-202.78609259126324,8.679854977187244
829,93.87,8.0,6578.397,359.5,0.821,-201.9208775472439,10.110693830759626
830,92.529,8.0,6578.4169999999995,325.1,0.825,-201.01012486931785,10.231781185068307
831,91.18799999999999,8.0,6578.41,244.5,0.778,-201.32888830658158,8.746579462523824
832,89.84700000000001,8.0,6578.451999999999,224.7,0.809,-199.41630768291623,9.742089695920656
833,88.506,8.0,6578.460999999999,266.8,0.778,-199.00646897783918,8.746579462523824
963,115.32600000000001,5.0,6578.608,82.86,1.111,-192.31243679488614,17.658962832783182
964,113.985,5.0,6578.464,220.7,1.102,-198.86985607611916,17.446707105632314
965,112.64399999999999,5.0,6578.674,596.1,0.875,-189.3069529576681,11.68287980255148
966,111.303,5.0,6578.71,327.3,1.133,-187.66759813735985,18.174394143102564
968,108.62100000000001,5.0,6578.4580000000005,195.1,1.571,-199.1430818794763,27.8100744956213
969,107.28,5.0,6578.465,89.64,1.569,-198.8243184422126,27.767800775942497
971,104.598,5.0,6578.552,143.6,1.07,-194.86254429316187,16.684862677429503
972,103.257,5.0,6578.6269999999995,177.0,0.868,-191.44722175086673,11.485861878360542
973,101.916,5.0,6578.682,193.0,0.848,-188.94265188649769,10.912615198870576
974,100.575,5.0,6578.649,142.8,0.831,-190.44539380508598,10.411849894880651
975,99.234,5.0,6578.597,291.5,0.883,-192.8133507677765,11.905936602202114
976,97.89299999999999,5.0,6578.564,668.0,0.9420000000000001,-194.3160926863648,13.492029775156105
977,96.552,5.0,6578.54,822.6,0.934,-195.40899589991744,13.282320986477217
978,95.211,5.0,6578.499,1122.0,0.7659999999999999,-197.2760388897176,8.34091887434122
979,93.87,5.0,6578.5509999999995,641.2,0.7440000000000001,-194.9080819270685,7.55927303354574
980,92.529,5.0,6578.5380000000005,591.9,0.759,-195.50007116768938,8.097973808715722
981,91.18799999999999,5.0,6578.545999999999,351.6,0.737,-195.13577009656035,7.298225152768113
982,89.84700000000001,5.0,6578.536,260.0,0.758,-195.59114643550265,8.062855410490034
983,88.506,5.0,6578.53,327.9,0.711,-195.86437223890118,6.259325934443736
1112,116.667,2.0,6578.736,163.1,0.937,-186.48361965603527,13.361137497003277
1113,115.32600000000001,2.0,6578.639,290.4,0.863,-190.90077014406972,11.344029302578999
1114,113.985,2.0,6578.5869999999995,557.9,0.7909999999999999,-193.2687271067602,9.172437525125165
1115,112.64399999999999,2.0,6578.525,907.4,0.836,-196.09206040839302,10.560536046956859
