,X,Y,Center,Peak,Width,RV,Sig
1131,91.18799999999999,2.0,6557.979,888.9,0.932,-194.3221335628573,
1263,115.32600000000001,0.0,6557.931,1024.0,1.078,-196.5148010267759,5.554324565809049
1264,113.985,0.0,6557.899,1863.0,0.902,-197.9765793359996,
1265,112.64399999999999,0.0,6557.892,2250.0,0.875,-198.29634334117338,
1266,111.303,0.0,6557.883000000001,2402.0,0.904,-198.7074684906114,
1267,109.962,0.0,6557.91,3590.0,0.897,-197.4740930422143,
1268,108.62100000000001,0.0,6557.927,5657.0,0.858,-196.69752331542884,
1269,107.28,0.0,6557.956999999999,6033.0,-0.847,-195.32710615051087,
1270,105.939,0.0,6557.946999999999,4908.0,-0.868,-195.78391187216403,
1271,104.598,0.0,6557.789000000001,3939.0,0.9309999999999999,-203.00144227405985,
1272,103.257,0.0,6557.764,3789.0,1.021,-204.14345657819274,
1273,101.916,0.0,6557.808000000001,4385.0,1.041,-202.13351140292713,1.154918140362894
1274,100.575,0.0,6557.891,2656.0,1.011,-198.34202391334702,
1275,99.234,0.0,6558.019,1401.0,0.922,-192.49491067628617,
1276,97.89299999999999,0.0,6558.076999999999,1739.0,0.892,-189.84543749079745,
1277,96.552,0.0,6558.078,1511.0,0.871,-189.79975691858226,
1278,95.211,0.0,6558.088000000001,1320.0,0.892,-189.3429511969291,
