,Y,X,RV,I,Sig
2062,33,19,0.94,2.69,24.845
2063,33,20,1.6875,3.0875,24.872500000000002
2064,33,21,3.8299999999999996,3.155,26.575
2065,33,22,4.050000000000001,3.4675,25.2775
2066,33,23,4.6675,3.8625,23.53
2067,33,24,6.865,4.205,22.7325
2068,33,25,6.129999999999999,4.6925,21.380000000000003
2069,33,26,4.0725,5.075,20.435
2070,33,27,2.9600000000000004,5.4799999999999995,18.6925
2071,33,28,0.015,5.12,20.07
2072,33,29,-3.4575000000000005,5.32,19.055
2073,33,30,-6.205,5.1675,20.94
2074,33,31,-4.37,4.8774999999999995,23.365
2075,33,32,-1.1624999999999999,4.3675,25.68
2076,33,33,2.58,4.25,26.1025
2077,33,34,6.2425,3.8075,29.5275
2078,33,35,13.845,3.61,30.27
2079,33,36,20.575,3.5925000000000002,29.305
2080,33,37,22.305,3.4825,29.36
2081,33,38,19.0625,3.0300000000000002,30.6025
2082,33,39,16.8975,2.515,31.57
2083,33,40,15.262500000000001,1.805,39.040000000000006
2093,33,57,11.165000000000001,3.6025,22.6725
2094,33,58,14.232499999999998,4.927499999999999,19.9775
2095,33,59,12.5775,6.1075,19.83
2096,33,60,11.035,7.105,18.887500000000003
2097,33,61,9.3875,7.935,18.35
2098,33,62,6.415,7.655,19.245
2099,33,63,2.9899999999999998,7.1375,19.0975
2100,33,64,0.64,6.4125000000000005,18.8175
2101,33,65,-0.6125,5.615,19.2475
2102,33,66,-0.35,5.0075,19.655
2103,33,67,-0.53,4.672499999999999,19.9325
2104,33,68,0.22249999999999998,4.6274999999999995,18.029999999999998
2105,33,69,-0.04749999999999999,4.2975,16.8175
2106,33,70,-1.0899999999999999,3.58,17.32
2132,34,19,-1.0174999999999998,2.795,22.52
2133,34,20,1.535,3.255,22.8575
2134,34,21,2.9625000000000004,3.3275,22.622500000000002
2135,34,22,2.6100000000000003,3.2625,23.817500000000003
2136,34,23,3.9425,3.0275,26.747500000000002
2137,34,24,7.109999999999999,3.4825,24.590000000000003
2138,34,25,6.017499999999999,4.3,21.3775
2139,34,26,4.945,5.3950000000000005,18.45
2140,34,27,3.575,6.2025,17.6175
2141,34,28,0.4475,6.215,18.7
2142,34,29,-4.4475,6.345,19.025
2143,34,30,-6.79,6.165,20.77
2144,34,31,-5.4875,5.734999999999999,22.9825
2145,34,32,-3.2399999999999998,4.985,25.075
2146,34,33,1.1124999999999998,4.447500000000001,27.942500000000003
2147,34,34,7.4275,4.005,30.7725
2148,34,35,15.95,4.157500000000001,28.1025
2149,34,36,22.14,4.3125,25.7125
2150,34,37,23.847499999999997,3.9625000000000004,26.634999999999998
2151,34,38,22.75,3.2825,28.63
2152,34,39,21.1275,2.52,31.775
2162,34,57,12.6425,3.7024999999999997,24.5775
2163,34,58,14.24,5.2825,21.4375
2164,34,59,12.157499999999999,6.705,20.8825
2165,34,60,9.965,7.7625,20.54
2166,34,61,8.45,8.605,20.112499999999997
2167,34,62,6.050000000000001,8.4825,20.2325
2168,34,63,3.5599999999999996,7.8225,19.885
2169,34,64,0.7325,6.82,19.3275
2170,34,65,-1.7274999999999998,5.984999999999999,19.2175
2171,34,66,-1.3475000000000001,5.5725,19.4
2172,34,67,-0.3375000000000001,5.590000000000001,18.2975
2173,34,68,-0.5875,5.5625,16.5125
2174,34,69,-0.69,5.109999999999999,16.43
2175,34,70,-1.775,4.28,16.25
2176,34,71,-3.3475,3.3925,15.72
2201,35,20,0.585,3.0650000000000004,22.162499999999998
2202,35,21,2.535,3.1925,21.177500000000002
2203,35,22,3.88,3.225,21.132499999999997
2204,35,23,3.21,3.065,23.3775
2205,35,24,4.6125,3.38,23.1375
2206,35,25,3.53,4.155,19.9575
2207,35,26,3.74,5.2675,18.795
2208,35,27,2.6075,6.46,18.099999999999998
2209,35,28,-0.05500000000000005,6.8325,18.3025
2210,35,29,-3.1350000000000002,6.76,19.5225
2211,35,30,-4.422499999999999,6.3,22.7725
2212,35,31,-3.525,5.8675,24.6375
2213,35,32,-0.7175,5.0775,26.625
2214,35,33,3.92,4.6675,28.6725
2215,35,34,10.477500000000001,4.915,27.6525
2216,35,35,16.2425,5.4675,23.682499999999997
2217,35,36,20.185,5.375,21.6675
2218,35,37,22.775,4.43,24.322499999999998
2219,35,38,24.3025,3.5425,26.545
2220,35,39,24.657500000000002,2.6750000000000003,29.154999999999998
2229,35,57,12.68,4.165,22.4075
2230,35,58,12.580000000000002,5.800000000000001,20.955
2231,35,59,10.575,7.1975,21.485
2232,35,60,8.585,8.3025,21.799999999999997
2233,35,61,7.2425,8.844999999999999,21.89
2234,35,62,5.305000000000001,8.73,20.8975
2235,35,63,3.3225000000000002,8.125,20.38
2236,35,64,0.495,7.237500000000001,21.0175
2237,35,65,-1.9825,6.855,19.9425
2238,35,66,-1.0975,6.42,19.900000000000002
2239,35,67,0.3225,6.415,18.974999999999998
2240,35,68,-0.495,6.1000000000000005,18.2
2241,35,69,-0.7549999999999999,5.325,18.470000000000002
2242,35,70,-0.5549999999999999,4.452500000000001,17.1075
2243,35,71,-2.19,3.5250000000000004,15.395
2272,36,19,-0.4625,2.755,17.3725
2273,36,20,2.5025,2.88,20.68
2274,36,21,4.095000000000001,3.0225,20.5775
2275,36,22,4.925,3.1425,20.975
2276,36,23,3.2975000000000003,3.1325000000000003,21.74
2277,36,24,2.2625,3.31,22.125
2278,36,25,0.95,3.7600000000000002,20.564999999999998
2279,36,26,1.5425,4.5875,19.6225
2280,36,27,1.3525,5.9525,18.22
2281,36,28,-0.07500000000000001,6.67,18.375
2282,36,29,-1.5075,6.73,20.3425
2283,36,30,-3.0600000000000005,6.3925,23.35
2284,36,31,-1.8499999999999999,5.92,25.39
2285,36,32,2.5225,5.540000000000001,25.915
2286,36,33,8.215,5.57,25.262500000000003
2287,36,34,12.360000000000001,6.2025,23.740000000000002
2288,36,35,15.43,6.6899999999999995,22.57
2289,36,36,18.2975,6.04,22.18
2290,36,37,20.53,4.9075,23.379999999999995
2291,36,38,22.572499999999998,3.6550000000000002,25.4625
2292,36,39,25.412499999999998,2.6624999999999996,30.03
2293,36,44,28.155,1.6675,40.385000000000005
2294,36,45,26.380000000000003,1.655,41.185
2298,36,49,20.94,1.6725,38.7825
2299,36,55,4.0525,2.1975,27.545
2300,36,56,8.555,3.2099999999999995,23.3325
2301,36,57,10.95,4.447500000000001,22.125
2302,36,58,10.52,5.9825,21.425
2303,36,59,9.825,7.96,19.1925
2304,36,60,8.07,9.3175,18.8875
2305,36,61,5.7625,9.745000000000001,19.115
2306,36,62,3.6025,9.4675,19.002499999999998
2307,36,63,1.9825,8.7475,19.9625
2308,36,64,-0.8,7.6975,21.994999999999997
2309,36,65,-2.9825,7.3725,20.5975
2310,36,66,-1.9,7.12,19.32
2311,36,67,0.5449999999999999,7.055000000000001,18.505
2312,36,68,0.48250000000000004,6.325,18.8175
2313,36,69,0.8600000000000001,5.285,19.502499999999998
2314,36,70,1.67,4.2825,17.47
2344,37,19,1.1975000000000002,2.5050000000000003,19.705
2345,37,20,4.73,2.6674999999999995,20.36
2346,37,21,5.6450000000000005,2.7325,21.2475
2347,37,22,3.9375,2.8025,22.96
2348,37,23,2.7075,2.8075,22.827499999999997
2349,37,24,0.9625000000000001,2.9775,22.112499999999997
2350,37,26,0.59,4.2075000000000005,20.3875
2351,37,27,1.025,5.4624999999999995,19.64
2352,37,28,-0.04999999999999999,6.235,19.875
2353,37,29,-1.7349999999999999,6.6075,20.4775
2354,37,30,-2.9050000000000002,6.715,21.815000000000005
2355,37,31,-0.94,6.072500000000001,25.3925
2356,37,32,3.9949999999999997,5.9075,25.46
2357,37,33,8.485,6.48,23.349999999999998
2358,37,34,10.93,7.545,21.4075
2359,37,35,13.5075,7.91,21.51
2360,37,36,16.985,6.94,21.5225
2361,37,37,19.9125,5.5625,22.552500000000002
2362,37,38,21.245,3.9025,24.7825
2363,37,39,23.015,2.7775,31.795
2364,37,40,25.53,2.2525,35.03
2365,37,41,24.1525,1.94,38.8275
2366,37,42,23.277499999999996,1.9375,39.485
2367,37,43,26.207499999999996,2.0575,39.765
2368,37,44,25.4525,1.9825,41.47
2369,37,45,23.755000000000003,1.8825,42.557500000000005
2370,37,46,22.0375,1.8025000000000002,39.050000000000004
2371,37,48,19.0425,1.7275,36.082499999999996
2372,37,49,16.0675,1.8575,35.71
2373,37,51,16.38,1.8050000000000002,35.07
2375,37,55,5.04,2.5025,27.97
2376,37,56,8.284999999999998,3.5575,24.3475
2377,37,57,8.947499999999998,4.93,21.650000000000002
2378,37,58,8.485,6.6575,19.94
2379,37,59,8.305,8.987499999999999,17.3075
2380,37,60,7.95,10.295,17.0525
2381,37,61,5.305,10.5025,17.6825
2382,37,62,3.3825,10.3225,17.427500000000002
2383,37,63,1.62,9.5275,18.1
2384,37,64,-1.4275,8.02,20.47
2385,37,65,-3.1999999999999997,7.5,19.3675
2386,37,66,-1.79,7.27,18.1625
2387,37,67,0.02500000000000001,6.8925,19.19
2388,37,68,0.15000000000000002,5.9275,20.557499999999997
2389,37,69,0.1525,4.925,20.58
2390,37,70,1.3125,3.8475,18.935
2420,38,21,2.8649999999999998,2.36,22.79
2421,38,25,-0.16000000000000003,3.0025,23.317500000000003
2422,38,26,0.44999999999999996,3.7,23.3775
2423,38,27,-0.2875,4.7749999999999995,21.855
2424,38,28,-0.8625,5.7250000000000005,21.42
2425,38,29,-1.21,6.4575,21.060000000000002
2426,38,30,-1.465,6.744999999999999,21.5
2427,38,31,-0.285,6.175,25.315
2428,38,32,3.885,6.1075,25.4225
2429,38,33,7.5625,6.7625,22.8125
2430,38,34,10.2075,8.0225,19.972499999999997
2431,38,35,12.7875,8.57,19.9
2432,38,36,16.2025,7.717499999999999,20.775
2433,38,37,18.947499999999998,6.285,21.8575
2434,38,38,19.990000000000002,4.3625,24.43
2435,38,39,20.087500000000002,3.1025,30.314999999999998
2436,38,40,19.1375,2.48,36.02
2437,38,41,14.807500000000001,2.2625,38.095
2438,38,42,12.8025,2.3575,38.7175
2439,38,43,13.1625,2.485,40.837500000000006
2440,38,44,13.395,2.455,43.457499999999996
2441,38,45,11.41,2.445,43.07249999999999
2442,38,46,12.29,2.275,41.74
2443,38,47,12.190000000000001,2.0775,40.0125
2444,38,48,14.030000000000001,1.9125,40.0125
2445,38,49,14.2225,2.0149999999999997,36.5875
2446,38,50,17.322499999999998,2.14,33.345
2447,38,51,18.5125,2.1075,31.150000000000002
2448,38,52,16.565,1.9649999999999999,31.475
2449,38,56,9.98,3.9549999999999996,25.5125
2450,38,57,8.9875,5.579999999999999,21.5775
2451,38,58,8.1175,7.5875,18.877499999999998
2452,38,59,7.1925,9.9775,17.2775
2453,38,60,6.530000000000001,11.2075,17.6425
2454,38,61,4.9225,11.4075,18.2775
2455,38,62,3.1325000000000003,10.7825,19.12
2456,38,63,0.5475,9.8375,19.325000000000003
2457,38,64,-2.1075,8.48,19.5275
2458,38,65,-2.99,7.525,19.2575
2459,38,66,-2.2425,7.09,18.905
2460,38,67,-1.1125,6.515000000000001,19.3875
2461,38,68,-1.05,5.475,19.957500000000003
2462,38,69,-1.3325,4.467499999999999,19.36
2493,39,25,-1.955,2.9575,25.24
2494,39,26,-0.8300000000000001,3.7600000000000002,24.345
2495,39,27,-1.1975,4.890000000000001,21.2575
2496,39,28,-1.2149999999999999,5.6425,20.5325
2497,39,29,-0.08499999999999999,6.29,20.5375
2498,39,30,0.4,6.430000000000001,21.165
2499,39,31,0.935,6.057499999999999,24.46
2500,39,32,3.675,5.93,25.0325
2501,39,33,6.647500000000001,6.76,22.2125
2502,39,34,9.4275,7.885,19.912499999999998
2503,39,35,11.95,8.522499999999999,20.09
2504,39,36,15.6025,7.800000000000001,21.8775
2505,39,37,17.58,6.522499999999999,23.6175
2506,39,38,17.6975,4.880000000000001,26.527499999999996
2507,39,39,15.982500000000002,3.7849999999999997,29.2425
2508,39,40,10.0475,3.1725000000000003,34.1725
2509,39,41,3.1700000000000004,3.085,33.3925
2510,39,42,-0.9025,3.4875,31.135
2511,39,43,0.019999999999999962,3.685,33.347500000000004
2512,39,44,2.4875,3.6575,37.480000000000004
2513,39,45,1.6600000000000001,3.5624999999999996,37.089999999999996
2514,39,46,1.0624999999999998,3.2975,37.9225
2515,39,47,2.1575,2.8475,37.25
2516,39,48,8.295,2.3425,38.69499999999999
2517,39,49,12.07,2.2475,34.6625
2518,39,50,17.445,2.5375,29.172500000000003
2519,39,51,17.05,2.48,26.515
2520,39,52,15.782499999999999,2.3525,28.435
2521,39,55,11.200000000000001,3.0949999999999998,27.7625
2522,39,56,10.26,4.505,24.035
2523,39,57,8.795,6.5225,20.7225
2524,39,58,6.9675,8.625,18.735
2525,39,59,4.7524999999999995,10.7875,17.685
2526,39,60,3.3375000000000004,11.970000000000002,18.4925
2527,39,61,2.2275,12.345,18.9525
2528,39,62,0.9075,11.695,19.017500000000002
2529,39,63,-1.2225000000000001,10.629999999999999,18.07
2530,39,64,-2.755,8.99,18.185000000000002
2531,39,65,-3.1174999999999997,7.5525,19.2225
2532,39,66,-3.04,6.54,19.6775
2533,39,67,-3.36,5.5325,20.3475
2534,39,68,-3.785,4.605,20.73
2535,39,69,-3.03,3.7449999999999997,20.497500000000002
2568,40,25,-2.8375,3.065,25.9425
2569,40,26,-1.5100000000000002,3.8674999999999997,23.7225
2570,40,27,-1.0325,5.035,20.377499999999998
2571,40,28,0.5575,5.81,20.5175
2572,40,29,1.2925,6.279999999999999,20.8675
2573,40,30,1.085,6.325,21.255000000000003
2574,40,31,1.7825000000000002,6.0975,23.025000000000002
2575,40,32,4.0125,6.06,23.8725
2576,40,33,5.8025,6.359999999999999,23.93
2577,40,34,7.2675,7.0975,22.3475
2578,40,35,9.765,7.92,21.212500000000002
2579,40,36,12.1775,7.5,23.505
2580,40,37,13.884999999999998,6.5600000000000005,26.6125
2581,40,38,13.93,5.26,30.375
2582,40,39,13.2875,4.43,32.5525
2583,40,40,6.375,3.9625000000000004,34.9425
2584,40,41,-0.9100000000000001,4.23,32.2475
2585,40,42,-6.165,4.895,27.14
2586,40,43,-5.9225,5.145,28.265
2587,40,44,-3.6700000000000004,5.075,31.7525
2588,40,45,-3.24,4.8325000000000005,31.825
2589,40,46,-4.8425,4.36,32.455
2590,40,47,-3.7225,3.6374999999999997,33.495
2591,40,48,2.1399999999999997,2.7849999999999997,36.5475
2592,40,49,10.6775,2.3649999999999998,34.715
2593,40,50,18.3325,2.6224999999999996,27.4925
2594,40,51,16.6725,2.6875,25.565
2595,40,52,14.9975,2.5925,27.3475
2596,40,53,11.885,2.52,28.462500000000002
