Pos	X	Y	Slit	Archivo	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL
61	128.736	19.6	1	604a1_779-241244.xlsx	4857.05	0.036	0.87	0.079	67.84	5.564	62.83	5.199	4953.808	0.022	0.778	0.065	31.51	2.061	26.11	1.683	5002.438	0.022	0.778	0.065	94.54	6.182	78.34	5.048
62	127.3056	19.6	1	604a1_779-245248.xlsx	4857.114	0.042	0.919	0.11	54.02	5.43	52.84	5.332	4953.905	0.034	0.98	0.085	23.32	1.68	24.32	1.76	5002.535	0.034	0.98	0.085	69.97	5.039	72.97	5.279
63	125.8752	19.6	1	604a1_779-249252.xlsx	4857.091	0.037	0.846	0.103	53.41	5.384	48.12	4.872	4953.95	0.032	1.023	0.082	22.98	1.546	25.02	1.688	5002.58	0.032	1.023	0.082	68.94	4.639	75.05	5.063
64	124.4448	19.6	1	604a1_779-253256.xlsx	4857.135	0.063	1.073	0.128	42.13	4.449	48.12	5.109	4953.958	0.044	1.191	0.11	17.77	1.383	22.52	1.757	5002.588	0.044	1.191	0.11	53.3	4.15	67.57	5.27
65	123.0144	19.6	1	604a1_779-257260.xlsx	4857.315	0.067	0.913	0.162	35.67	5.18	34.69	5.1	4954.122	0.051	1.126	0.143	15.52	1.533	18.6	1.859	5002.751	0.051	1.126	0.143	46.55	4.599	55.8	5.576
66	121.584	19.6	1	604a1_779-261264.xlsx	4857.301	0.036	0.813	0.085	54.33	5.03	47	4.386	4954.129	0.041	0.852	0.086	17.53	1.561	15.89	1.43	5002.759	0.041	0.852	0.086	52.58	4.682	47.66	4.29
67	120.1536	19.6	1	604a1_779-265268.xlsx	4857.445	0.085	1.098	0.208	33.14	4.841	38.75	5.732	4954.131	0.038	0.814	0.091	17.82	1.679	15.43	1.477	5002.761	0.038	0.814	0.091	53.45	5.036	46.3	4.43
68	118.7232	19.6	1	604a1_779-269272.xlsx	4857.449	0.036	-0.784	0.09	56.02	5.406	-46.76	-4.583	4953.938	0.072	1.865	0.173	14.16	1.114	28.1	2.235	5002.568	0.072	1.865	0.173	42.47	3.342	84.3	6.706
69	117.2928	19.6	1	604a1_779-273276.xlsx	4857.237	0.065	1.247	0.149	42.15	4.222	55.94	5.623	4953.943	0.062	1.768	0.177	15.45	1.187	29.08	2.256	5002.573	0.062	1.768	0.177	46.35	3.56	87.24	6.769
70	115.8624	19.6	1	604a1_779-277280.xlsx	4857.139	0.098	1.514	0.204	33.89	4.213	54.6	6.832	4953.914	0.051	1.522	0.143	20.2	1.462	32.72	2.4	5002.544	0.051	1.522	0.143	60.59	4.386	98.15	7.199
71	114.432	19.6	1	604a1_779-281284.xlsx	4857.036	0.058	1.158	0.144	44.14	4.53	54.42	5.615	4953.865	0.041	1.37	0.11	21.01	1.344	30.63	1.983	5002.495	0.041	1.37	0.11	63.03	4.033	91.9	5.949
72	113.0016	19.6	1	604a1_779-285288.xlsx	4857.274	0.064	-1.095	0.136	39.06	4.341	-45.52	-5.088	4954.005	0.046	1.241	0.141	17.97	1.471	23.74	1.972	5002.635	0.046	1.241	0.141	53.9	4.414	71.22	5.915
73	111.5712	19.6	1	604a1_779-289292.xlsx	4857.056	0.075	1.134	0.226	35.96	4.965	43.39	6.041	4953.987	0.035	0.91	0.093	18.06	1.519	17.49	1.493	5002.617	0.035	0.91	0.093	54.18	4.557	52.47	4.479
74	110.1408	19.6	1	604a1_779-293296.xlsx	4856.87	0.087	1.927	0.203	32.14	3.073	65.94	6.347	4953.736	0.092	2.122	0.192	11.25	0.9202	25.4	2.119	5002.366	0.092	2.122	0.192	33.74	2.761	76.21	6.356
75	108.7104	19.6	1	604a1_779-297300.xlsx	4857.177	0.082	1.11	0.212	35.07	4.893	41.44	5.777	4953.976	0.049	1.342	0.128	17.05	1.308	24.37	1.878	5002.605	0.049	1.342	0.128	51.16	3.925	73.1	5.633
76	107.28	19.6	1	604a1_779-301304.xlsx	4857.134	0.029	1.032	0.077	78.2	4.908	85.86	5.41	4954.014	0.018	0.927	0.049	39.14	1.673	38.61	1.666	5002.644	0.018	0.927	0.049	117.4	5.02	115.8	4.998
77	105.8496	19.6	1	604a1_779-305308.xlsx	4857.2	0.023	0.93	0.057	103.1	5.497	102.1	5.459	4953.979	0.019	0.976	0.05	43.85	1.786	45.55	1.872	5002.609	0.019	0.976	0.05	131.5	5.358	136.6	5.617
78	104.4192	19.6	1	604a1_779-309312.xlsx	4857.008	0.043	1.289	0.104	55.92	3.978	76.7	5.485	4953.899	0.029	1.027	0.075	24.12	1.456	26.36	1.605	5002.529	0.029	1.027	0.075	72.36	4.369	79.09	4.815
79	102.9888	19.6	1	604a1_779-313316.xlsx	4856.914	0.037	0.842	0.102	56.29	5.792	50.45	5.231	4953.779	0.048	1.089	0.127	17.66	1.672	20.46	1.932	5002.409	0.048	1.089	0.127	52.97	5.016	61.38	5.797
80	101.5584	19.6	1	604a1_779-317320.xlsx	4856.793	0.033	0.803	0.096	53.73	5.333	45.92	4.511	4953.702	0.053	0.918	0.188	13.74	1.873	13.43	1.855	5002.332	0.053	0.918	0.188	41.23	5.619	40.28	5.564
81	100.128	19.6	1	604a1_779-321324.xlsx	4856.654	0.112	1.417	0.25	24.15	3.816	36.43	5.721	4953.75	0.08	0.81	0.224	8.636	1.838	7.448	1.507	5002.38	0.08	0.81	0.224	25.91	5.513	22.34	4.522
82	98.6976	19.6	1	604a1_779-325328.xlsx	4857.103	0.187	1.475	0.238	15.36	3.163	24.13	5.009	4953.896	0.153	1.27	0.315	5.459	1.243	7.381	1.626	5002.526	0.153	1.27	0.315	16.38	3.73	22.14	4.877
83	97.2672	19.6	1	604a1_779-329332.xlsx	4857.233	0.122	1.126	0.234	17.85	3.758	21.4	4.556	4953.576	0.123	0.543	0.22	4.948	1.729	2.86	1.078	5002.206	0.123	0.543	0.22	14.84	5.187	8.579	3.235
