Pos	X	Y	Slit	Archivo	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL
72	113.0016	8	6	604a6_789-285288.xlsx	4857.377	0.014	0.923	0.035	345.7	11.04	339.8	10.91	4954.182	0.01	1.034	0.025	166.5	3.323	183.3	3.688	5002.812	0.01	1.034	0.025	499.5	9.969	549.9	11.06
73	111.5712	8	6	604a6_789-289292.xlsx	4857.276	0.018	0.992	0.038	278.6	9.08	294.1	9.626	4954.048	0.011	1.055	0.025	138.7	2.79	155.8	3.157	5002.678	0.011	1.055	0.025	416.2	8.369	467.4	9.472
74	110.1408	8	6	604a6_789-293296.xlsx	4857.187	0.015	0.949	0.037	259.7	8.578	262.3	8.691	4953.98	0.011	1.041	0.026	124	2.606	137.3	2.907	5002.61	0.011	1.041	0.026	371.9	7.818	412	8.721
75	108.7104	8	6	604a6_789-297300.xlsx	4857.148	0.018	1.012	0.044	170.8	6.18	183.9	6.681	4953.978	0.013	1.042	0.032	75.74	1.917	83.98	2.142	5002.608	0.013	1.042	0.032	227.2	5.75	251.9	6.427
76	107.28	8	6	604a6_789-301304.xlsx	4857.099	0.031	0.947	0.064	90.99	5.16	91.7	5.226	4954.023	0.024	1.01	0.062	30.73	1.576	33.04	1.712	5002.653	0.024	1.01	0.062	92.18	4.728	99.13	5.137
77	105.8496	8	6	604a6_789-305308.xlsx	4857.29	0.043	1	0.094	53.04	4.574	56.47	4.891	4954.04	0.034	0.884	0.087	19.95	1.612	18.76	1.538	5002.67	0.034	0.884	0.087	59.84	4.836	56.29	4.615
78	104.4192	8	6	604a6_789-309312.xlsx	4857.196	0.057	0.991	0.1	49.75	4.717	52.51	4.994	4954.085	0.054	1.111	0.128	14.89	1.454	17.61	1.756	5002.715	0.054	1.111	0.128	44.68	4.363	52.83	5.269
79	102.9888	8	6	604a6_789-313316.xlsx	4857.199	0.045	0.815	0.119	44.93	5.368	38.97	4.617	4954.147	0.062	-0.942	0.153	11.83	1.561	-11.86	-1.581	5002.777	0.062	-0.942	0.153	35.49	4.682	-35.58	-4.743
80	101.5584	8	6	604a6_789-317320.xlsx	4857.401	0.071	1.116	0.19	28.37	4.021	33.7	4.832	4954.021	0.064	1.159	0.14	11.22	1.217	13.84	1.506	5002.65	0.064	1.159	0.14	33.65	3.651	41.53	4.517
81	100.128	8	6	604a6_789-321324.xlsx	4857.527	0.112	1.316	0.244	23.69	3.748	33.19	5.333	4953.973	0.085	0.885	0.188	7.209	1.42	6.793	1.332	5002.603	0.085	0.885	0.188	21.63	4.259	20.38	3.995
82	98.6976	8	6	604a6_789-325328.xlsx	4857.411	0.062	0.743	0.122	30.59	4.825	24.18	3.936	4954.151	0.094	1.233	0.207	8.359	1.236	10.97	1.657	5002.781	0.094	1.233	0.207	25.08	3.707	32.92	4.971
83	97.2672	8	6	604a6_789-329332.xlsx	4857.492	0.115	1.119	0.343	24.24	5.011	28.89	6.001	4953.979	0.662	3.532	2.155	3.174	1.119	11.93	4.391	5002.609	0.662	3.532	2.155	9.523	3.358	35.8	13.17
84	95.8368	8	6	604a6_789-333336.xlsx	4857.402	0.083	0.972	0.221	23.93	4.584	24.77	4.825	4954.402	0.231	1.482	0.409	3.856	1.076	6.082	1.743	5003.032	0.231	1.482	0.409	11.57	3.228	18.25	5.23
85	94.4064	8	6	604a6_789-337340.xlsx	4857.497	0.119	0.989	0.206	16.64	3.952	17.51	4.193	4986.688	9.503	-25.325	12.049	-0.3686	0.1866	9.935	8.181	5035.318	9.503	-25.325	12.049	-1.106	0.5597	29.81	24.54
86	92.976	8	6	604a6_789-341344.xlsx	4857.383	0.235	1.864	0.376	14.43	3.136	28.64	6.232	4954.03	0.466	1.255	0.495	1.709	0.8936	2.284	1.362	5002.66	0.466	1.255	0.495	5.127	2.681	6.851	4.085
87	91.5456	8	6	604a6_789-345348.xlsx	4857.11	0.117	-0.707	0.433	13.88	6.039	-10.45	-4.719	4954.526	0.044	0.088	0.024	14.33	5.357	1.34	0.5067	5003.156	0.044	0.088	0.024	42.99	16.07	4.019	1.52
88	90.1152	8	6	604a6_789-349352.xlsx	4857.361	0.133	0.795	0.228	20.79	5.073	17.59	4.364	4954.003	0.163	0.678	0.309	3.533	1.498	2.549	1.233	5002.633	0.163	0.678	0.309	10.6	4.495	7.647	3.698
89	88.6848	8	6	604a6_789-353356.xlsx	4854.454	0.038	-0.325	0.191	27.02	30.19	-9.361	-5.614	4954.09	0.126	0.587	0.185	4.591	1.571	2.868	1.115	5002.72	0.126	0.587	0.185	13.77	4.713	8.603	3.344
90	87.2544	8	6	604a6_789-357360.xlsx	4857.3	0.148	0.832	0.187	20.63	4.781	18.28	4.1	4954.046	0.199	1.433	0.543	4.239	1.286	6.464	1.929	5002.676	0.199	1.433	0.543	12.72	3.858	19.39	5.787
91	85.824	8	6	604a6_789-361364.xlsx	4858.134	18.56	-219.98	78.734	3.665	1.135	-858.2	-541.8	4953.924	0.096	0.653	0.215	7.609	2.126	5.286	1.331	5002.554	0.096	0.653	0.215	22.83	6.379	15.86	3.992
92	84.3936	8	6	604a6_789-365368.xlsx	4857.286	0.045	0.948	0.135	38.97	4.597	39.33	4.669	4954.276	0.068	-0.536	0.345	6.841	3.694	-3.905	-1.111	5002.906	0.068	-0.536	0.345	20.52	11.08	-11.72	-3.332
93	82.9632	8	6	604a6_789-369372.xlsx	4857.218	0.078	0.824	0.173	27.93	4.961	24.49	4.343	4952.675	0.06	0.199	0.055	-35.88	43.02	-7.584	-7.123	5001.305	0.06	0.199	0.055	-107.6	129.1	-22.75	-21.37
94	81.5328	8	6	604a6_789-373376.xlsx	4830.419	120.385	-453.109	293.355	3.128	1.424	-1509	-1514	4954.125	1.226	2.269	1.434	0.944	0.5949	2.28	2.165	5002.754	1.226	2.269	1.434	2.832	1.785	6.839	6.496
95	80.1024	8	6	604a6_789-377380.xlsx	4856.007	0.098	0.366	0	-14.31	0	-5.578	-10.76	4957.416	0.731	2.429	1.143	-1.491	0.7432	-3.856	-2.052	5006.045	0.731	2.429	1.143	-4.474	2.23	-11.57	-6.157
96	78.672	8	6	604a6_789-381384.xlsx	4862.72	0.912	3.345	1.197	-4.213	1.974	-15	-7.626	4957.313	0.157	0.544	0.265	-3.772	1.69	-2.185	-1.045	5005.943	0.157	0.544	0.265	-11.32	5.071	-6.556	-3.134
97	77.2416	8	6	604a6_789-385388.xlsx	4857.03	0.732	1.905	1.159	3.668	2.459	7.438	5.805	4949.516	0.304	1.43	0.434	-2.506	0.9238	-3.815	-1.457	4998.146	0.304	1.43	0.434	-7.517	2.771	-11.45	-4.371
98	75.8112	8	6	604a6_789-389392.xlsx	4857.577	0.007	0.158	0.039	319.2	550.3	53.84	80.53	4956.703	0.479	2.114	0.673	-2.133	0.9031	-4.799	-1.977	5005.333	0.479	2.114	0.673	-6.398	2.709	-14.4	-5.932
99	74.3808	8	6	604a6_789-393396.xlsx	4855.784	0.307	1.001	0.599	6.291	4.046	6.702	4.222	4953.918	0.382	1.31	0.506	-2.115	1.14	-2.948	-1.54	5002.548	0.382	1.31	0.506	-6.344	3.419	-8.844	-4.619
100	72.9504	8	6	604a6_789-397400.xlsx	4856.167	0.224	0.945	0.778	7.898	4.562	7.944	4.896	4967.54	2.248	5.722	2.752	-0.6804	0.3414	-4.144	-3	5016.169	2.248	5.722	2.752	-2.041	1.024	-12.43	-9.001
101	71.52	8	6	604a6_789-401404.xlsx	4857.545	1.522	2.559	1.492	2.401	2.425	6.54	6.623	4951.666	0.959	2.909	1.174	-1.524	0.6512	-4.72	-2.374	5000.296	0.959	2.909	1.174	-4.573	1.953	-14.16	-7.122
102	70.0896	8	6	604a6_789-405408.xlsx	4856.31	0	1.822	0	-3.291	0	-6.383	-17.34	4955.068	0.063	0.472	0.157	6.282	2.622	3.156	0.9317	5003.698	0.063	0.472	0.157	18.84	7.865	9.467	2.795
103	68.6592	8	6	604a6_789-409412.xlsx	4860.548	1.268	5.926	2.612	-4.317	1.864	-27.23	-11.63	4958.669	0.716	3.495	1.485	-1.899	0.6663	-7.066	-2.993	5007.299	0.716	3.495	1.485	-5.698	1.999	-21.2	-8.98
104	67.2288	8	6	604a6_789-413416.xlsx	4855.282	0.104	0.388	0.339	-23.24	24.82	-9.594	-3.382	4954.151	0.044	-0.158	0.081	10.75	6.52	-1.803	-1.423	5002.781	0.044	-0.158	0.081	32.24	19.56	-5.409	-4.27
105	65.7984	8	6	604a6_789-417420.xlsx	4856.439	0.736	1.12	1.675	4.386	5.857	5.228	5.042	4954.66	0	2.997	0	1.005	0	3.205	41.36	5003.29	0	2.997	0	3.015	0	9.616	124.1
106	64.368	8	6	604a6_789-421424.xlsx	4857.852	0.038	0.139	0	-26.96	0	-3.979	-102.9	4956.599	0.368	1.867	0.727	-2.88	0.9397	-5.725	-2.228	5005.229	0.368	1.867	0.727	-8.641	2.819	-17.17	-6.684
107	62.9376	8	6	604a6_789-425428.xlsx	4853.879	0.095	0.587	0.171	23.51	5.967	14.7	4.036	4953.637	0	2.234	0	-1.198	0	-2.849	-6.636	5002.267	0	2.234	0	-3.595	0	-8.547	-19.91
108	61.5072	8	6	604a6_789-429432.xlsx	4856.355	0	0.332	0	23.36	0	8.252	17.18	4953.894	0.433	2.848	1.748	-2.694	1.052	-8.165	-3.345	5002.524	0.433	2.848	1.748	-8.082	3.155	-24.5	-10.04
109	60.0768	8	6	604a6_789-433436.xlsx	4846.868	0.549	1.407	0.817	6.078	3.707	9.103	5.517	4949.627	0.351	1.325	0.563	2.319	1.116	3.27	1.595	4998.257	0.351	1.325	0.563	6.956	3.349	9.811	4.784
110	58.6464	8	6	604a6_789-437440.xlsx	4863.143	0.069	-0.353	0.37	-19.87	36.95	7.462	6.579	4953.461	0.043	-0.239	0.183	12.51	32.44	-3.189	-5.916	5002.091	0.043	-0.239	0.183	37.54	97.33	-9.566	-17.75
111	57.216	8	6	604a6_789-441444.xlsx	4836.245	8.073	22.523	9.385	1.499	0.9717	35.94	24.47	4954.812	5.822	-34.803	8.557	-0.834	0.2089	30.9	11.09	5003.442	5.822	-34.803	8.557	-2.502	0.6266	92.69	33.28
112	55.7856	8	6	604a6_789-445448.xlsx	4861.182	0.057	-0.256	0	43.6	0	-11.89	-25.65	4955.924	0.129	0.828	0.307	-5.052	1.528	-4.455	-1.49	5004.554	0.129	0.828	0.307	-15.16	4.585	-13.36	-4.47
113	54.3552	8	6	604a6_789-449452.xlsx	4856.343	0.752	2.937	1.149	-5.548	2.674	-17.35	-8.293	4955.562	1.485	2.872	1.493	0.879	0.6717	2.687	2.162	5004.191	1.485	2.872	1.493	2.637	2.015	8.062	6.486
114	52.9248	8	6	604a6_789-453456.xlsx	4848.27	0.14	-0.626	0.292	12.1	5.388	-8.061	-3.964	4952.789	0.414	2.132	0.853	-2.916	1.051	-6.617	-2.339	5001.419	0.414	2.132	0.853	-8.748	3.154	-19.85	-7.016
115	51.4944	8	6	604a6_789-457460.xlsx	4854.014	0	0.131	0.026	-5280	12720	-737.5	-1635	4981.181	18.229	120.309	50.713	-0.718	0.1726	-91.95	-41.16	5029.811	18.229	120.309	50.713	-2.154	0.5178	-275.9	-123.5
116	50.064	8	6	604a6_789-461464.xlsx	4856.91	0.598	1.723	0.731	5.759	3.369	10.56	6.145	4951.55	0.121	0.42	0.229	4.177	2.931	1.868	1.054	5000.18	0.121	0.42	0.229	12.53	8.794	5.605	3.161
117	48.6336	8	6	604a6_789-465468.xlsx	4858.616	1.963	3.967	4.56	-2.99	2.003	-12.63	-15.07	4955.25	0.065	0.031	0.214	5.073	10.85	0.1683	0.8038	5003.88	0.065	0.031	0.214	15.22	32.54	0.5048	2.411
118	47.2032	8	6	604a6_789-469472.xlsx	4849.748	2.127	9.124	3.635	3.35	1.436	32.53	14.78	4952.347	1.714	9.977	2.493	-1.387	0.36	-14.73	-4.791	5000.977	1.714	9.977	2.493	-4.162	1.08	-44.2	-14.37
119	45.7728	8	6	604a6_789-473476.xlsx	4841.676	1.177	4.488	2.844	4.732	2.68	22.61	11.58	4957.726	0.894	3.425	1.543	-1.76	0.6896	-6.417	-2.928	5006.355	0.894	3.425	1.543	-5.279	2.069	-19.25	-8.783
120	44.3424	8	6	604a6_789-477480.xlsx	4709.618	0	-375.201	0	5.1	0	-2037	0	4951.139	1.282	3.985	1.431	-1.377	0.4789	-5.842	-2.35	4999.769	1.282	3.985	1.431	-4.132	1.437	-17.53	-7.051
121	42.912	8	6	604a6_789-481484.xlsx	4849.575	2.737	9.404	3.941	2.802	1.436	28.05	15.28	4951.36	0.521	1.861	0.708	-2.008	0.8896	-3.976	-2.034	4999.99	0.521	1.861	0.708	-6.023	2.669	-11.93	-6.103
122	41.4816	8	6	604a6_789-485488.xlsx	4857.804	0.679	1.536	2.396	4.354	4.913	7.118	7.668	4955.351	0.455	1.115	0.434	1.809	1.125	2.146	1.407	5003.98	0.455	1.115	0.434	5.426	3.374	6.439	4.22
123	40.0512	8	6	604a6_789-489492.xlsx	4868.546	1.625	6.268	2.979	3.724	1.643	24.85	12.16	4955.737	0.198	0.576	0.313	4.546	2.085	2.785	1.142	5004.367	0.198	0.576	0.313	13.64	6.255	8.355	3.425
124	38.6208	8	6	604a6_789-493496.xlsx	4853.351	4.153	12.578	5.897	2.316	1.278	31.01	18.88	4953.459	0.05	-0.318	0.129	-8.184	6.601	2.768	1.414	5002.089	0.05	-0.318	0.129	-24.55	19.8	8.305	4.243
125	37.1904	8	6	604a6_789-497500.xlsx	4857.465	0.191	0.483	0.362	-16.96	9.712	-8.726	-4.473	4953.573	1.541	3.035	0	-0.8141	0	-2.63	-6.697	5002.203	1.541	3.035	0	-2.442	0	-7.891	-20.09
126	35.76	8	6	604a6_789-501504.xlsx	4860.905	1.575	3.98	1.655	-3.287	2.69	-13.92	-10.43	4955.924	0.304	0.808	0.528	2.503	1.775	2.153	1.38	5004.554	0.304	0.808	0.528	7.508	5.326	6.459	4.14
127	34.3296	8	6	604a6_789-505508.xlsx	4859.968	11.028	-15.016	10.251	-0.8795	0.9044	14.06	17.71	4967.14	5.402	42.399	8.41	-1.147	0.2364	-51.78	-12.6	5015.77	5.402	42.399	8.41	-3.442	0.7092	-155.3	-37.79
128	32.8992	8	6	604a6_789-509512.xlsx	4857.883	0.913	2.474	1.077	4.13	2.688	10.88	7.308	4956.865	3.079	3.073	8.445	-1.112	1.497	-3.637	-6.165	5005.495	3.079	3.073	8.445	-3.336	4.491	-10.91	-18.49
129	31.4688	8	6	604a6_789-513516.xlsx	4850.249	2.071	7.304	4.06	4.089	2.078	31.79	17.16	4963.594	0.393	1.329	0.649	-2.791	1.478	-3.949	-2.18	5012.224	0.393	1.329	0.649	-8.373	4.433	-11.85	-6.541
130	30.0384	8	6	604a6_789-517520.xlsx	4854.109	0.132	-0.393	0.309	-13.15	9.649	5.503	3.41	4946.452	4.505	-18.614	11.197	-0.8102	0.3474	16.05	8.803	4995.082	4.505	-18.614	11.197	-2.431	1.042	48.16	26.41
131	28.608	8	6	604a6_789-521524.xlsx	4855.996	0	0.316	0	-27.23	0	-9.159	-121.9	4954.525	0.847	4.635	1.318	-2.021	0.6241	-9.973	-3.551	5003.155	0.847	4.635	1.318	-6.064	1.872	-29.92	-10.65
132	27.1776	8	6	604a6_789-525528.xlsx	4854.1	0.402	-1.75	0.986	8.217	3.983	-15.31	-7.357	4956.966	0.295	1.307	0.393	-3.33	1.234	-4.634	-1.806	5005.596	0.295	1.307	0.393	-9.989	3.702	-13.9	-5.418
133	25.7472	8	6	604a6_789-529532.xlsx	4855.964	1.174	2.073	1.271	-2.855	2.236	-6.299	-6.374	4955.619	0.306	1.562	0.531	-3.149	1.128	-5.236	-2.017	5004.249	0.306	1.562	0.531	-9.446	3.385	-15.71	-6.051
134	24.3168	8	6	604a6_789-533536.xlsx	4857.186	0.061	0.352	1.078	-20.59	109.5	-7.712	-17.61	4998.916	31.077	63.176	31.443	-0.6244	0.2115	-41.99	-22.28	5047.546	31.077	63.176	31.443	-1.873	0.6345	-126	-66.83
135	22.8864	8	6	604a6_789-537540.xlsx	4853.717	0.616	1.791	1.03	-5.539	3.045	-10.56	-7.384	4953.966	3.373	-48.302	4.462	-0.6435	0.1482	33.08	15.26	5002.596	3.373	-48.302	4.462	-1.93	0.4447	99.25	45.79
136	21.456	8	6	604a6_789-541544.xlsx	4857.147	0.64	1.367	0.705	-4.491	3.206	-6.533	-5.216	4951.899	0.406	1.236	0.929	-2.033	1.629	-2.675	-1.79	5000.529	0.406	1.236	0.929	-6.099	4.888	-8.024	-5.37
137	20.0256	8	6	604a6_789-545548.xlsx	4856.111	2.075	4.362	3.487	2.398	1.596	11.13	10.67	4956.685	0.373	1.483	0.536	-2.444	0.9434	-3.858	-1.78	5005.314	0.373	1.483	0.536	-7.332	2.83	-11.57	-5.341
138	18.5952	8	6	604a6_789-549552.xlsx	4856.372	0.547	1.676	0.674	-5.181	2.823	-9.24	-5.709	4954.621	0.177	-0.847	0.35	-3.967	1.537	3.577	1.433	5003.25	0.177	-0.847	0.35	-11.9	4.612	10.73	4.3
139	17.1648	8	6	604a6_789-553556.xlsx	4856.396	0.022	0.316	0.266	29.44	54.36	9.896	10.29	4958.276	0.065	-0.309	0.26	-10.09	17.52	3.318	3.105	5006.906	0.065	-0.309	0.26	-30.26	52.55	9.954	9.314
140	15.7344	8	6	604a6_789-557560.xlsx	4856.772	0	-0.302	0	-32.94	0	10.6	18.01	4952.898	0.402	1.493	0.724	2.696	1.374	4.285	1.928	5001.528	0.402	1.493	0.724	8.089	4.121	12.86	5.784
141	14.304	8	6	604a6_789-561564.xlsx	4856.84	0.306	1.418	0.607	-9.172	3.804	-13.85	-5.868	4953.413	0.241	-0.615	0.433	-2.225	1.325	1.456	1.342	5002.043	0.241	-0.615	0.433	-6.676	3.975	4.368	4.027
142	12.8736	8	6	604a6_789-565568.xlsx	4854.241	0.422	1.548	0.845	6.76	3.6	11.14	6.15	4950.898	0.957	3.913	1.454	-1.599	0.6499	-6.662	-3.01	4999.528	0.957	3.913	1.454	-4.798	1.95	-19.99	-9.03
143	11.4432	8	6	604a6_789-569572.xlsx	4861.568	0.947	3.695	3.44	-5.38	3.089	-21.16	-13.13	4953.061	0.192	-0.767	0.433	-3.996	1.913	3.263	1.44	5001.69	0.192	-0.767	0.433	-11.99	5.739	9.79	4.319
144	10.0128	8	6	604a6_789-573576.xlsx	4855.039	0.17	0.68	0.282	12.7	5.259	9.194	3.994	4953.981	1.999	2.772	1.88	0.6815	0.4798	2.011	1.927	5002.611	1.999	2.772	1.88	2.045	1.439	6.033	5.78
145	8.5824	8	6	604a6_789-577580.xlsx	4856.724	0.128	-0.475	0.35	-10.8	7.955	5.467	3.191	4957.394	0.62	2.423	1.163	-1.827	0.8956	-4.712	-2.339	5006.023	0.62	2.423	1.163	-5.482	2.687	-14.14	-7.017
146	7.152	8	6	604a6_789-581584.xlsx	4853.652	0.302	0.346	1.045	-21.25	115.3	-7.817	-18.96	4954.139	3.172	9.958	7.724	-0.7912	0.5569	-8.387	-5.843	5002.769	3.172	9.958	7.724	-2.374	1.671	-25.16	-17.53
147	5.7216	8	6	604a6_789-585588.xlsx	4849.674	1.863	6.706	2.739	-4.621	1.869	-32.99	-13.35	4955.267	5.49	-11.683	5.843	-0.4823	0.3264	5.997	5.058	5003.896	5.49	-11.683	5.843	-1.447	0.9793	17.99	15.18
148	4.2912	8	6	604a6_789-589592.xlsx	4858.068	0.632	2.649	1.059	6.236	2.619	17.58	7.917	4953.752	2.154	2.569	0.708	-0.5735	0	-1.568	-2.723	5002.382	2.154	2.569	0.708	-1.72	0	-4.704	-8.17
149	2.8608	8	6	604a6_789-593596.xlsx	4857.168	0.074	-0.254	0.139	49.17	76.34	-13.3	-13.69	4957.851	0.988	6.721	1.914	-2.053	0.4889	-14.68	-4.505	5006.48	0.988	6.721	1.914	-6.158	1.467	-44.05	-13.51
150	1.4304	8	6	604a6_789-597600.xlsx	4854.943	0.321	1.05	0.825	-13.16	7.767	-14.71	-9.362	4964.072	22.399	3.977	34.743	-0.9331	3.106	-3.95	-22.04	5012.702	22.399	3.977	34.743	-2.799	9.319	-11.85	-66.13
1	214.56	6	7	604a7_791-001004.xlsx	4855.011	0.105	0.623	0.177	18.44	5.237	12.23	3.833	4945.741	0.6	2.256	1.072	-1.877	0.9657	-4.508	-2.264	4994.371	0.6	2.256	1.072	-5.632	2.897	-13.53	-6.792
2	213.1296	6	7	604a7_791-005008.xlsx	4848.626	6.564	76.212	23.543	3.531	0.6099	286.4	86.59	4954.273	0.062	-0.406	0.31	7.133	6.923	-3.082	-1.087	5002.903	0.062	-0.406	0.31	21.4	20.77	-9.247	-3.262
3	211.6992	6	7	604a7_791-009012.xlsx	4851.395	1.483	11.721	5.654	5.635	1.784	70.3	23.24	4957.699	0	2.619	0	-2.343	0	-6.532	-5.462	5006.329	0	2.619	0	-7.03	0	-19.6	-16.39
4	210.2688	6	7	604a7_791-013016.xlsx	4859.268	0.275	1.762	0.52	11.55	3.506	21.65	6.763	4955.851	0.498	2.141	1.225	-2.449	1.189	-5.582	-2.536	5004.481	0.498	2.141	1.225	-7.348	3.566	-16.75	-7.608
5	208.8384	6	7	604a7_791-017020.xlsx	4855.096	1.654	9.86	3.144	4.638	1.456	48.68	16.15	4954.75	0.094	0.5	0.172	5.522	1.977	2.939	1.068	5003.38	0.094	0.5	0.172	16.56	5.93	8.817	3.205
6	207.408	6	7	604a7_791-021024.xlsx	4859.657	0.505	1.248	0.682	4.617	3.276	6.135	4.771	4957.15	0.571	1.577	0.913	1.652	1.019	2.773	1.785	5005.78	0.571	1.577	0.913	4.955	3.056	8.32	5.356
7	205.9776	6	7	604a7_791-025028.xlsx	4872.604	0.339	-1.484	0.563	8.7	3.559	-13.74	-6.049	4957.47	0.435	1.146	0.531	-1.921	1.029	-2.344	-1.54	5006.1	0.435	1.146	0.531	-5.763	3.088	-7.031	-4.621
8	204.5472	6	7	604a7_791-029032.xlsx	4859.343	0.295	1.466	0.749	-9.072	3.984	-14.16	-6.576	4956.025	1.139	4.308	1.655	-1.433	0.5288	-6.57	-3.201	5004.655	1.139	4.308	1.655	-4.298	1.586	-19.71	-9.604
9	203.1168	6	7	604a7_791-033036.xlsx	4856.215	1.309	3.337	1.556	-3.475	2.33	-12.34	-8.41	4956.698	1.346	4.118	5.645	-1.619	1.917	-7.098	-3.811	5005.328	1.346	4.118	5.645	-4.858	5.751	-21.3	-11.43
10	201.6864	6	7	604a7_791-037040.xlsx	4854.812	0.459	2.41	1.112	7.955	3.052	20.41	8.219	4954.38	1.482	2.811	2.094	-0.8738	0.4602	-2.614	-2.297	5003.01	1.482	2.811	2.094	-2.621	1.381	-7.843	-6.892
11	200.256	6	7	604a7_791-041044.xlsx	4844.265	1.68	13.404	4.708	5.176	1.338	73.86	21.11	4950.751	1.093	3.055	1.748	1.428	0.664	4.645	2.78	4999.381	1.093	3.055	1.748	4.285	1.992	13.94	8.339
12	198.8256	6	7	604a7_791-045048.xlsx	4853.854	1.088	2.531	1.934	3.498	3.207	9.422	7.967	4954.082	3.064	13.777	4.97	-0.9754	0.3542	-14.3	-6.134	5002.712	3.064	13.777	4.97	-2.926	1.063	-42.91	-18.4
13	197.3952	6	7	604a7_791-049052.xlsx	4837.172	2.306	23.916	4.824	4.729	0.8974	120.4	24.89	4955.204	0.177	-0.767	0.292	3.516	1.491	-2.87	-1.196	5003.834	0.177	-0.767	0.292	10.55	4.473	-8.61	-3.589
14	195.9648	6	7	604a7_791-053056.xlsx	4860.204	2.031	7.523	4.386	-3.182	1.556	-25.48	-13.18	4956.819	1.345	3.748	1.878	-0.9699	0.6271	-3.869	-2.565	5005.449	1.345	3.748	1.878	-2.91	1.881	-11.61	-7.694
15	194.5344	6	7	604a7_791-057060.xlsx	4854.768	2.672	5.114	3.152	1.989	1.543	10.83	9.135	4952.237	0.813	2.612	1.372	-1.377	0.8096	-3.828	-2.081	5000.867	0.813	2.612	1.372	-4.131	2.429	-11.49	-6.244
16	193.104	6	7	604a7_791-061064.xlsx	4861.203	0.119	0.277	0.518	-17.9	93.52	-5.275	-17.89	4953.441	0.047	-0.379	0.24	-7.54	7.302	3.041	1.274	5002.071	0.047	-0.379	0.24	-22.62	21.91	9.124	3.822
17	191.6736	6	7	604a7_791-065068.xlsx	4854.762	0.405	1.495	0.864	6.062	3.225	9.648	5.345	4955.062	0	0.153	0.027	174.7	196.3	28.4	27.06	5003.691	0	0.153	0.027	524	588.9	85.19	81.17
18	190.2432	6	7	604a7_791-069072.xlsx	4855.635	1.038	5.019	1.708	4.268	1.615	22.8	9.049	4956.059	0.263	1.062	0.388	2.484	1.06	2.809	1.266	5004.688	0.263	1.062	0.388	7.452	3.181	8.427	3.797
19	188.8128	6	7	604a7_791-073076.xlsx	4857.31	0.052	0.2	0.199	14.26	12.94	3.029	2.558	5023.193	0	124.021	0	-0.9513	0	-125.6	0	5071.823	0	124.021	0	-2.854	0	-376.8	0
20	187.3824	6	7	604a7_791-077080.xlsx	4854.671	0.964	5.571	2.822	5.507	2.063	32.66	12.72	4953.913	0.69	4.941	1.157	-2.325	0.553	-12.23	-3.218	5002.543	0.69	4.941	1.157	-6.975	1.659	-36.69	-9.654
21	185.952	6	7	604a7_791-081084.xlsx	4873.99	6.234	124.182	20.205	4.369	0.5143	577.5	125.7	4953.199	0.319	-0.657	0.62	-1.796	1.85	1.257	1.149	5001.829	0.319	-0.657	0.62	-5.387	5.55	3.77	3.447
22	184.5216	6	7	604a7_791-085088.xlsx	4851.856	1.86	5.692	2.41	2.673	1.624	16.19	10.12	4994.736	22.877	99.628	42.198	-0.7534	0.1436	-79.9	-35.24	5043.366	22.877	99.628	42.198	-2.26	0.4307	-239.7	-105.7
23	183.0912	6	7	604a7_791-089092.xlsx	4850.832	1.795	10.844	3.694	4.1	1.34	47.33	16.05	4954.417	0	0.046	0	16.25	0	0.8021	1.312	5003.046	0	0.046	0	48.76	0	2.406	3.935
24	181.6608	6	7	604a7_791-093096.xlsx	4854.073	0.82	6.003	1.11	6.421	1.569	41.03	10.2	4954.968	0.276	-0.627	0.535	1.965	1.661	-1.31	-1.157	5003.598	0.276	-0.627	0.535	5.894	4.983	-3.931	-3.471
25	180.2304	6	7	604a7_791-097100.xlsx	4851.349	0.731	2.692	1.62	5.195	2.538	14.89	7.712	5145.433	450.804	1021.486	0	-3.463	3.018	-3765	-1481	5194.062	450.804	1021.486	0	-10.39	9.053	-11300	-4442
26	178.8	6	7	604a7_791-101104.xlsx	4843.22	0.821	-2.346	1.042	-4.515	2.812	11.28	6.509	5032.171	39.415	163.607	60.127	-1.281	0.2897	-223.1	-120.6	5080.801	39.415	163.607	60.127	-3.842	0.869	-669.2	-361.8
27	177.3696	6	7	604a7_791-105108.xlsx	4865.304	0.429	-1.986	0.714	7.294	3.032	-15.42	-6.103	5000.725	26.217	139.289	59.522	-0.9997	0.1519	-148.2	-73.97	5049.355	26.217	139.289	59.522	-2.999	0.4556	-444.7	-221.9
28	175.9392	6	7	604a7_791-109112.xlsx	4850.538	2.425	10.402	4.189	2.852	1.246	31.58	14.24	4946.882	1.196	4.215	1.559	-1.255	0.4784	-5.632	-2.728	4995.512	1.196	4.215	1.559	-3.766	1.435	-16.9	-8.184
29	174.5088	6	7	604a7_791-113116.xlsx	4858.39	0	0.066	0	7.216E+11	0	50480000000	7469000000	5040.743	67.556	330.745	154.587	-1.284	0.4387	-451.9	-358.2	5089.373	67.556	330.745	154.587	-3.851	1.316	-1356	-1075
