Pos	X	Y	Slit	Archivo	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL
24	168.966	22	1	595r1_878-093096.xlsx	6557.65	0.097	0.816	0.291	31.57	8.521	27.41	7.686	6547.407	2.58	15.167	3.408	1.991	0.6953	32.15	13.34	6582.907	2.58	15.167	3.408	5.973	2.086	96.44	40.02	6709.004	0.418	1.462	0.573	-4.211	3.53	-6.552	-6.673	6723.404	0.418	1.462	0.573	6.205	4.02	9.655	5.1
25	167.625	22	1	595r1_878-097100.xlsx	6557.521	0.135	1.093	0.317	29.61	7.199	34.45	8.728	6544.397	1.719	14.285	2.646	2.794	0.7639	42.49	13.86	6579.897	1.719	14.285	2.646	8.382	2.292	127.5	41.59	6711.579	0.102	-0.587	0.242	15.88	5.84	-9.924	-4.03	6725.979	0.102	-0.587	0.242	9.045	5.755	-5.652	-3.294
26	166.284	22	1	595r1_878-101104.xlsx	6557.651	0.18	1.532	0.313	23.61	5.308	38.5	9.081	6541.059	1.395	11.016	3.545	3.312	0.7609	38.83	14.08	6576.559	1.395	11.016	3.545	9.935	2.283	116.5	42.24	6709.557	0.096	0.319	0.307	23.13	40.23	7.866	6.792	6723.957	0.096	0.319	0.307	-3.621	5.757	-1.231	-1.921
27	164.943	22	1	595r1_878-105108.xlsx	6557.773	0.385	1.202	0.798	11.41	6.253	14.59	8.752	6544.587	1.17	12.914	2.669	3.541	0.7222	48.67	13.61	6580.087	1.17	12.914	2.669	10.62	2.167	146	40.83	6712.221	0.354	1.691	0.848	7.038	3.417	12.67	6.849	6726.621	0.354	1.691	0.848	-5.339	3.489	-9.609	-5.798
28	163.602	22	1	595r1_878-109112.xlsx	6557.72	0.278	0.824	0.964	19.24	12.7	16.89	11.81	6544.245	1.399	14.457	2.621	3.519	0.7591	54.16	14.99	6579.745	1.399	14.457	2.621	10.56	2.277	162.5	44.96	6713.02	1.523	2.684	2.727	2.32	2.728	6.628	7.267	6727.42	1.523	2.684	2.727	1.986	3.067	5.674	10.59
29	162.261	22	1	595r1_878-113116.xlsx	6557.555	0.367	1.311	0.706	11.18	5.87	15.61	8.508	6544.334	1.529	13.232	2.804	2.945	0.7304	41.49	13.05	6579.834	1.529	13.232	2.804	8.836	2.191	124.5	39.14	6709.616	1.209	7.916	2.361	4.246	1.78	35.78	17.86	6724.016	1.209	7.916	2.361	4.505	1.794	37.96	17.15
30	160.92	22	1	595r1_878-117120.xlsx	6557.889	0.28	1.245	0.605	16.61	6.747	22.02	9.161	6545.059	1.863	13.806	2.845	2.356	0.7545	34.62	12.86	6580.559	1.863	13.806	2.845	7.068	2.263	103.9	38.57	6709.468	0.384	1.429	0.546	-7.284	3.584	-11.08	-5.48	6723.868	0.384	1.429	0.546	-0.09385	0.2995	-0.1428	-0.4629
31	159.579	22	1	595r1_878-121124.xlsx	6557.861	0.137	0.651	0.397	22.82	10.43	15.82	7.39	6544.172	1.652	15.852	2.519	3.157	0.7786	53.28	15.63	6579.672	1.652	15.852	2.519	9.472	2.336	159.8	46.89	6709.473	0.173	0.673	0.308	6.23	5.181	4.46	3.19	6723.873	0.173	0.673	0.308	-10.38	4.768	-7.435	-3.972
32	158.238	22	1	595r1_878-125128.xlsx	6557.688	0.13	1.104	0.358	29.05	7.349	34.15	8.958	6541.177	0.687	4.347	3.333	3.567	1.493	16.51	8.87	6576.677	0.687	4.347	3.333	10.7	4.478	49.52	26.61	6706.546	0.106	0.495	0.211	22.33	9.341	11.77	3.801	6720.946	0.106	0.495	0.211	12.2	6.109	6.433	3.945
33	156.897	22	1	595r1_878-129132.xlsx	6557.757	0.112	0.914	0.221	32.42	7.179	31.54	7.089	6542.225	0.799	4.312	1.486	2.861	0.9986	13.13	5.204	6577.725	0.799	4.312	1.486	8.583	2.996	39.39	15.61	6711.973	0.445	1.323	0.848	7.836	4.772	11.03	6.131	6726.373	0.445	1.323	0.848	1.142	4.984	1.608	7.588
