Pos	X	Y	Slit	Archivo	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL	Center	ErrC	Width	ErrW	Peak	ErrP	Line	ErrL
11	186.399	11	5	595r5_887-041044.xlsx	6557.91	0.058	0.894	0.119	62.64	7.531	59.58	7.277	6542.361	0.565	3.491	1.098	4	1.194	14.87	4.887	6577.861	0.565	3.491	1.098	12	3.581	44.6	14.66	6711.78	0.126	0.865	0.227	16.27	5.329	14.97	4.82	6726.18	0.126	0.865	0.227	11.75	5.037	10.82	4.797
12	185.058	11	5	595r5_887-045048.xlsx	6557.805	0.066	1.101	0.164	55.96	7.395	65.56	9.081	6543.371	1.136	11.638	3.443	4.071	0.826	50.44	16.92	6578.871	1.136	11.638	3.443	12.21	2.478	151.3	50.76	6711.877	0.074	0.673	0.161	24.75	6.379	17.74	4.129	6726.277	0.074	0.673	0.161	15.08	5.293	10.81	4.273
13	183.717	11	5	595r5_887-049052.xlsx	6557.896	0.06	0.911	0.12	60.37	7.27	58.51	7.266	6544.484	1.034	12.172	2.698	4.222	0.7391	54.71	14.32	6579.984	1.034	12.172	2.698	12.67	2.217	164.1	42.96	6711.855	0.141	1.018	0.247	16.61	4.358	18	4.795	6726.255	0.141	1.018	0.247	5.449	4.001	5.905	4.396
14	182.376	11	5	595r5_887-053056.xlsx	6557.84	0.038	0.937	0.093	80.85	7.041	80.68	7.274	6543.742	1.052	14.542	2.033	4.134	0.7117	64	14.05	6579.242	1.052	14.542	2.033	12.4	2.135	192	42.16	6711.769	0.132	1.359	0.354	20.51	4.222	29.68	7.238	6726.168	0.132	1.359	0.354	13.43	4.441	19.44	5.622
15	181.035	11	5	595r5_887-057060.xlsx	6557.835	0.038	0.92	0.089	87.65	7.894	85.79	7.85	6542.825	0.174	1.604	0.667	9.313	2.39	15.9	4.589	6578.325	0.174	1.604	0.667	27.94	7.171	47.69	13.77	6711.721	0.059	0.745	0.194	34.45	7.159	27.32	4.837	6726.121	0.059	0.745	0.194	20.42	4.944	16.19	5.318
16	179.694	11	5	595r5_887-061064.xlsx	6557.84	0.039	1.115	0.095	85.56	6.566	101.5	7.971	6542.736	0.35	3.134	1.147	5.621	1.395	18.75	5.428	6578.236	0.35	3.134	1.147	16.86	4.186	56.26	16.29	6711.805	0.058	0.851	0.137	30.39	5.308	27.53	5.182	6726.205	0.058	0.851	0.137	28.8	5.547	26.09	4.84
17	178.353	11	5	595r5_887-065068.xlsx	6557.799	0.033	0.875	0.071	107.3	7.627	100	7.248	6542.752	0.29	2.992	0.889	6.662	1.424	21.22	5.123	6578.252	0.29	2.992	0.889	19.99	4.273	63.66	15.37	6711.786	0.074	0.763	0.206	19.82	4.894	16.09	4.885	6726.186	0.074	0.763	0.206	19.52	5.872	15.85	4.01
18	177.012	11	5	595r5_887-069072.xlsx	6557.804	0.032	0.944	0.083	98.71	7.521	99.18	7.712	6542.59	0.325	3.094	0.884	6.367	1.37	20.97	5.138	6578.09	0.325	3.094	0.884	19.1	4.111	62.91	15.41	6711.786	0.038	0.542	0.14	47.95	10.15	27.67	4.401	6726.186	0.038	0.542	0.14	12.96	6.176	7.482	4.081
19	175.671	11	5	595r5_887-073076.xlsx	6557.856	0.033	0.931	0.086	92.78	7.352	91.92	7.4	6543.128	0.079	0.79	0.168	12.5	2.438	10.5	2.102	6578.628	0.079	0.79	0.168	37.49	7.313	31.5	6.307	6711.807	0.085	0.843	0.215	20.81	4.65	18.67	4.605	6726.207	0.085	0.843	0.215	13.41	4.583	12.03	3.846
20	174.33	11	5	595r5_887-077080.xlsx	6557.872	0.055	1.101	0.138	72.77	7.471	85.25	9.392	6543.873	1.095	8.038	4.994	3.968	1.02	33.95	17.71	6579.373	1.095	8.038	4.994	11.9	3.061	101.8	53.14	6711.927	0.092	1.293	0.196	23.13	4.042	31.83	5.562	6726.327	0.092	1.293	0.196	18.03	3.813	24.81	5.502
21	172.989	11	5	595r5_887-081084.xlsx	6557.905	0.047	1.059	0.113	85.56	7.509	96.44	8.814	6544.885	1.144	13.19	2.406	4.004	0.784	56.22	14.36	6580.385	1.144	13.19	2.406	12.01	2.352	168.6	43.09	6711.897	0.053	-0.722	0.146	29.39	5.675	-22.58	-4.203	6726.297	0.053	-0.722	0.146	22.9	5.104	-17.59	-4.178
22	171.648	11	5	595r5_887-085088.xlsx	6557.891	0.037	-0.749	0.086	87.44	8.849	-69.67	-7.106	6543.18	0.134	1.141	0.325	9.594	2.311	11.65	2.891	6578.68	0.134	1.141	0.325	28.78	6.932	34.96	8.673	6711.864	0.052	0.527	0.139	27.83	7.721	15.62	3.697	6726.264	0.052	0.527	0.139	21.41	6.997	12.02	3.617
23	170.307	11	5	595r5_887-089092.xlsx	6557.988	0.049	0.83	0.09	79.85	8.051	70.54	7.196	6542.639	0.381	2.919	1.03	5.75	1.497	17.86	5.214	6578.139	0.381	2.919	1.03	17.25	4.49	53.59	15.64	6711.886	0.052	0.634	0.154	27.54	6.46	18.58	3.874	6726.286	0.052	0.634	0.154	20.37	5.442	13.75	3.988
24	168.966	11	5	595r5_887-093096.xlsx	6558.063	0.031	0.896	0.076	96.57	7.174	92.12	6.959	6543.184	0.083	0.82	0.317	11.62	2.885	10.14	2.701	6578.684	0.083	0.82	0.317	34.85	8.656	30.42	8.102	6711.938	0.157	0.959	0.303	20.82	5.478	21.25	6.017	6726.337	0.157	0.959	0.303	4.255	6.764	4.343	6.374
25	167.625	11	5	595r5_887-097100.xlsx	6558.023	0.047	1.056	0.091	84.35	6.797	94.78	7.782	6542.647	0.3	3.128	0.706	6.716	1.294	22.36	4.748	6578.147	0.3	3.128	0.706	20.15	3.882	67.08	14.24	6711.866	0.149	1.325	0.32	17.73	4.362	25.01	5.71	6726.266	0.149	1.325	0.32	9.097	3.65	12.83	5.954
26	166.284	11	5	595r5_887-101104.xlsx	6557.989	0.035	0.967	0.084	86.99	6.748	89.58	7.062	6543.066	0.119	1.065	0.38	9.046	2.298	10.26	2.746	6578.566	0.119	1.065	0.38	27.14	6.895	30.77	8.239	6711.851	0.078	0.699	0.173	25.98	6.073	19.32	4.762	6726.25	0.078	0.699	0.173	13.97	5.785	10.39	4.02
27	164.943	11	5	595r5_887-105108.xlsx	6558.144	0.034	0.937	0.067	111.5	7.325	111.2	7.422	6543.27	0.154	1.65	0.389	9.764	1.834	17.14	3.444	6578.77	0.154	1.65	0.389	29.29	5.503	51.43	10.33	6712.023	0.064	0.773	0.151	27.43	5.043	22.58	4.166	6726.423	0.064	0.773	0.151	13.46	4.402	11.08	3.772
28	163.602	11	5	595r5_887-109112.xlsx	6558.145	0.036	1.034	0.081	93.84	6.59	103.3	7.394	6543.263	0.219	1.704	0.777	6.282	1.903	11.39	3.792	6578.763	0.219	1.704	0.777	18.85	5.708	34.18	11.38	6711.976	0.188	1.186	0.31	13.31	3.859	16.8	4.841	6726.376	0.188	1.186	0.31	3.646	3.363	4.602	4.456
29	162.261	11	5	595r5_887-113116.xlsx	6557.985	0.052	1.096	0.11	82.12	7.123	95.84	8.499	6542.169	0.569	3.702	1.002	3.912	1.197	15.42	4.944	6577.669	0.569	3.702	1.002	11.74	3.59	46.25	14.83	6711.613	0.596	3.584	2.24	10.32	3.775	39.37	16.87	6726.013	0.596	3.584	2.24	3.804	2.831	14.51	13.21
30	160.92	11	5	595r5_887-117120.xlsx	6558.089	0.042	1.149	0.084	99.25	6.811	121.3	8.494	6542.715	0.344	2.74	0.752	6.056	1.409	17.66	4.581	6578.215	0.344	2.74	0.752	18.17	4.226	52.99	13.74	6712.877	0.296	2.607	0.565	9.089	2.444	25.22	7.219	6727.277	0.296	2.607	0.565	8.022	2.427	22.26	6.97
31	159.579	11	5	595r5_887-121124.xlsx	6557.961	0.034	1.227	0.083	93.2	5.583	121.7	7.478	6542.986	0.279	2.818	0.874	6.615	1.341	19.84	4.684	6578.486	0.279	2.818	0.874	19.84	4.024	59.52	14.05	6711.796	0.057	0.749	0.119	24.71	4.825	19.71	3.747	6726.196	0.057	0.749	0.119	21.95	4.57	17.51	3.821
32	158.238	11	5	595r5_887-125128.xlsx	6558.015	0.029	1.045	0.077	112	7.063	124.5	8.016	6543.201	0.228	1.608	0.646	6.217	1.858	10.64	3.509	6578.701	0.228	1.608	0.646	18.65	5.574	31.93	10.53	6711.991	0.067	0.968	0.191	30.53	4.844	31.47	5.886	6726.391	0.067	0.968	0.191	17.77	5.086	18.32	4.494
33	156.897	11	5	595r5_887-129132.xlsx	6557.961	0.029	1.114	0.07	118.9	6.516	141.1	7.876	6543.282	0.124	1.022	0.234	9.165	2.047	9.973	2.297	6578.782	0.124	1.022	0.234	27.5	6.141	29.92	6.891	6711.879	0.065	0.681	0.154	31.3	6.28	22.69	4.424	6726.279	0.065	0.681	0.154	11.73	5.291	8.503	3.939
34	155.556	11	5	595r5_887-133136.xlsx	6557.9	0.03	1.057	0.06	129	6.507	145.2	7.46	6543.129	0.132	1.582	0.374	9.98	1.792	16.8	3.233	6578.629	0.132	1.582	0.374	29.94	5.376	50.41	9.699	6711.943	0.096	1.247	0.215	24	4.035	31.85	5.411	6726.343	0.096	1.247	0.215	18.67	3.762	24.77	5.26
35	154.215	11	5	595r5_887-137140.xlsx	6557.878	0.028	1.058	0.057	140.7	6.581	158.5	7.553	6543.021	0.088	1.104	0.224	12.67	2.096	14.89	2.557	6578.521	0.088	1.104	0.224	38.01	6.288	44.67	7.671	6712.039	0.062	0.906	0.133	31.19	4.645	30.07	4.631	6726.439	0.062	0.906	0.133	16.54	4.311	15.95	4.137
36	152.874	11	5	595r5_887-141144.xlsx	6557.878	0.028	1.045	0.055	134.7	6.356	149.7	7.191	6542.834	0.107	1.365	0.3	11.19	1.899	16.26	2.891	6578.334	0.107	1.365	0.3	33.58	5.697	48.79	8.672	6711.926	0.094	1.125	0.198	23.8	3.969	28.51	5.439	6726.326	0.094	1.125	0.198	14.44	4.181	17.29	4.501
37	151.533	11	5	595r5_887-145148.xlsx	6557.879	0.019	0.985	0.045	162.2	6.469	170	6.897	6543.087	0.06	0.955	0.146	16.7	2.122	16.98	2.218	6578.587	0.06	0.955	0.146	50.09	6.366	50.93	6.654	6712.06	0.084	1.009	0.161	24.27	4.708	26.07	5.085	6726.459	0.084	1.009	0.161	21.25	4.573	22.83	5.049
38	150.192	11	5	595r5_887-149152.xlsx	6557.856	0.023	1.046	0.05	155	6.51	172.6	7.384	6542.996	0.074	0.983	0.203	13.67	2.231	14.3	2.413	6578.496	0.074	0.983	0.203	41.02	6.693	42.91	7.239	6711.91	0.069	1.077	0.226	26.83	4.806	30.76	6.167	6726.31	0.069	1.077	0.226	26.74	5.146	30.66	5.705
39	148.851	11	5	595r5_887-153156.xlsx	6557.876	0.025	1.042	0.052	156.5	6.898	173.6	7.826	6542.809	0.312	2.245	1.025	8.132	2.07	19.43	5.842	6578.309	0.312	2.245	1.025	24.4	6.21	58.29	17.53	6711.932	0.065	0.827	0.174	31.58	5.472	27.78	5.348	6726.332	0.065	0.827	0.174	19.63	5.4	17.27	4.346
40	147.51	11	5	595r5_887-157160.xlsx	6557.988	0.023	0.974	0.055	143.3	6.979	148.5	7.394	6543.174	0.137	1.47	0.747	12.07	3.239	18.89	5.635	6578.674	0.137	1.47	0.747	36.22	9.716	56.68	16.91	6712.004	0.099	0.978	0.207	17.3	4.388	18	4.356	6726.404	0.099	0.978	0.207	16.1	4.057	16.75	4.628
41	146.169	11	5	595r5_887-161164.xlsx	6557.955	0.019	0.974	0.046	175	7.227	181.5	7.663	6543.139	0.179	1.582	0.909	10.73	3.27	18.07	6.069	6578.639	0.179	1.582	0.909	32.19	9.809	54.2	18.21	6711.967	0.047	0.665	0.099	37.27	5.202	26.39	3.96	6726.367	0.047	0.665	0.099	23.38	5.056	16.55	3.452
42	144.828	11	5	595r5_887-165168.xlsx	6557.881	0.036	1.094	0.085	110.3	7.419	128.6	8.838	6542.861	0.271	2.271	0.865	6.727	1.787	16.26	4.831	6578.361	0.271	2.271	0.865	20.18	5.36	48.79	14.49	6711.887	0.107	0.905	0.202	24.91	5.132	24.01	5.032	6726.287	0.107	0.905	0.202	0.157	0	0.1513	0.04196
43	143.487	11	5	595r5_887-169172.xlsx	6557.866	0.034	1.003	0.084	91.79	6.603	97.96	7.183	6542.947	0.149	1.014	0.287	7.076	1.963	7.64	2.178	6578.447	0.149	1.014	0.287	21.23	5.889	22.92	6.533	6710.666	0.804	4.856	1.754	6.275	2.243	32.44	13.2	6725.065	0.804	4.856	1.754	3.14	2.154	16.23	11.79
44	142.146	11	5	595r5_887-173176.xlsx	6557.922	0.043	1.14	0.084	94.81	6.666	115.1	8.218	6543.218	0.167	1.285	0.463	8.153	2.212	11.15	3.188	6578.718	0.167	1.285	0.463	24.46	6.635	33.45	9.563	6711.867	0.322	2.311	0.786	10.09	2.96	24.81	9.065	6726.267	0.322	2.311	0.786	7.066	3.273	17.38	7.09
45	140.805	11	5	595r5_887-177180.xlsx	6557.859	0.048	1.277	0.102	90.29	6.83	122.7	9.485	6543.137	0.357	2.536	0.724	5.699	1.516	15.38	4.476	6578.637	0.357	2.536	0.724	17.1	4.548	46.15	13.43	6712.198	0.151	1.215	0.339	16.05	4.312	20.76	5.669	6726.598	0.151	1.215	0.339	8.003	3.752	10.35	5.116
46	139.464	11	5	595r5_887-181184.xlsx	6557.805	0.037	1.113	0.09	108.5	7.181	128.6	8.718	6542.755	0.304	2.459	0.824	5.87	1.498	15.36	4.469	6578.255	0.304	2.459	0.824	17.61	4.493	46.09	13.41	6711.887	0.104	1.128	0.192	20.39	3.985	24.49	4.835	6726.287	0.104	1.128	0.192	10.82	3.669	12.99	4.537
47	138.123	11	5	595r5_887-185188.xlsx	6557.854	0.044	1.146	0.095	98.01	7.126	119.5	8.857	6543.136	0.115	1.037	0.29	10.56	2.442	11.66	2.778	6578.636	0.115	1.037	0.29	31.68	7.326	34.98	8.335	6711.796	0.065	-0.548	0.192	22.04	7.179	-12.85	-3.557	6726.196	0.065	-0.548	0.192	17.1	5.741	-9.97	-3.602
48	136.782	11	5	595r5_887-189192.xlsx	6557.805	0.039	1.089	0.087	99.83	7.158	115.7	8.461	6543.343	0.173	1.592	0.58	8.526	2.16	14.45	3.907	6578.843	0.173	1.592	0.58	25.58	6.479	43.34	11.72	6712.031	0.069	0.666	0.145	22.96	5.128	16.28	3.948	6726.431	0.069	0.666	0.145	21.06	5.278	14.93	3.718
49	135.441	11	5	595r5_887-193196.xlsx	6557.794	0.042	1.316	0.094	97.31	6.184	136.3	8.901	6542.762	0.269	2.903	0.758	7.745	1.439	23.93	5.071	6578.262	0.269	2.903	0.758	23.23	4.317	71.79	15.21	6711.914	0.09	0.915	0.213	21.2	4.592	20.64	4.934	6726.314	0.09	0.915	0.213	16.18	4.717	15.76	4.305
50	134.1	11	5	595r5_887-197200.xlsx	6557.907	0.041	0.997	0.1	119.4	9.069	126.7	9.845	6542.996	0.145	1.078	0.325	9.402	2.514	10.78	2.991	6578.496	0.145	1.078	0.325	28.2	7.542	32.35	8.973	6711.854	0.098	0.809	0.276	17.94	5.205	15.46	4.528	6726.253	0.098	0.809	0.276	8.793	4.409	7.574	3.92
51	132.759	11	5	595r5_887-201204.xlsx	6557.899	0.042	1.208	0.093	120	7.511	154.4	9.917	6543.103	0.197	1.526	0.702	8.025	2.419	13.04	4.287	6578.603	0.197	1.526	0.702	24.08	7.256	39.11	12.86	6711.727	0.15	1.142	0.314	14.36	4.882	17.46	5.442	6726.127	0.15	1.142	0.314	11.97	4.277	14.55	5.934
52	131.418	11	5	595r5_887-205208.xlsx	6557.877	0.027	1.244	0.064	155.8	6.93	206.3	9.382	6543.11	0.072	0.809	0.171	14.85	2.694	12.78	2.4	6578.61	0.072	0.809	0.171	44.55	8.081	38.35	7.201	6712.033	0.083	0.963	0.239	29.46	5.337	30.2	5.713	6726.433	0.083	0.963	0.239	1.299	3.501	1.332	3.486
53	130.077	11	5	595r5_887-209212.xlsx	6557.807	0.02	1.254	0.051	188.2	6.82	251.1	9.336	6542.865	0.272	2.153	0.928	7.97	2.103	18.27	5.412	6578.365	0.272	2.153	0.928	23.91	6.309	54.8	16.24	6711.845	0.188	1.241	0.418	12.32	4.229	16.28	6.011	6726.245	0.188	1.241	0.418	10.07	4.298	13.31	5.471
54	128.736	11	5	595r5_887-213216.xlsx	6557.879	0.018	1.138	0.041	247	7.668	299.3	9.487	6543.151	0.133	1.15	0.352	10.24	2.5	12.53	3.18	6578.651	0.133	1.15	0.352	30.71	7.501	37.6	9.541	6713.331	0.697	3.719	1.1	7.524	2.638	29.79	10.95	6727.731	0.697	3.719	1.1	0.3619	1.029	1.433	4.106
55	127.395	11	5	595r5_887-217220.xlsx	6557.805	0.011	1.15	0.028	367.3	7.444	449.8	9.321	6543.191	0.081	1.202	0.209	16.51	2.325	21.12	3.113	6578.691	0.081	1.202	0.209	49.52	6.975	63.37	9.34	6711.882	0.075	0.831	0.247	23.76	5.331	21	5.829	6726.282	0.075	0.831	0.247	22.08	6.258	19.52	4.704
56	126.054	11	5	595r5_887-221224.xlsx	6557.704	0.013	1.177	0.031	369.7	8.175	463.2	10.49	6542.931	0.12	1.5	0.421	13.88	2.605	22.17	4.543	6578.431	0.12	1.5	0.421	41.65	7.814	66.51	13.63	6712.155	0.133	1.275	0.352	18.1	4.64	24.56	6.206	6726.555	0.133	1.275	0.352	13.76	4.139	18.68	6.146
57	124.713	11	5	595r5_887-225228.xlsx	6557.697	0.012	1.413	0.033	359.1	7.139	540.1	11.06	6543.065	0.165	2.42	0.513	12.99	1.92	33.45	5.5	6578.565	0.165	2.42	0.513	38.96	5.76	100.4	16.5	6711.972	0.095	1.54	0.213	31.92	3.964	52.32	7.026	6726.372	0.095	1.54	0.213	13.8	3.674	22.63	5.819
58	123.372	11	5	595r5_887-229232.xlsx	6557.594	0.016	1.495	0.038	308.1	7.001	490.5	11.45	6542.905	0.098	1.597	0.3	18.63	2.441	31.68	4.465	6578.405	0.098	1.597	0.3	55.9	7.322	95.04	13.4	6711.94	0.062	0.979	0.256	32.5	5.79	33.87	5.932	6726.34	0.062	0.979	0.256	19.49	4.317	20.32	5.227
59	122.031	11	5	595r5_887-233236.xlsx	6557.503	0.017	1.444	0.034	370.3	7.623	569.1	12.04	6543.04	0.077	1.32	0.274	22.18	3.032	31.17	4.553	6578.54	0.077	1.32	0.274	66.55	9.097	93.52	13.66	6711.742	0.079	1.155	0.218	31.2	5.046	38.34	6.764	6726.142	0.079	1.155	0.218	21.11	4.878	25.95	5.806
60	120.69	11	5	595r5_887-237240.xlsx	6557.299	0.014	1.262	0.032	492.2	10.41	661.1	14.35	6542.814	0.088	1.16	0.231	22.49	3.521	27.77	4.518	6578.314	0.088	1.16	0.231	67.47	10.56	83.32	13.55	6711.878	0.073	0.97	0.167	32.92	4.888	33.98	5.325	6726.278	0.073	0.97	0.167	12.39	4.348	12.79	4.348
61	119.349	11	5	595r5_887-241244.xlsx	6557.183	0.017	1.197	0.043	512.7	14.23	653	18.72	6542.575	0.416	2.911	1.02	9.593	2.737	29.72	9.397	6578.075	0.416	2.911	1.02	28.78	8.21	89.16	28.19	6711.71	0.514	2.446	1.053	11.6	3.801	30.2	10.35	6726.11	0.514	2.446	1.053	11.04	3.422	28.73	11.12
62	118.008	11	5	595r5_887-245248.xlsx	6557.182	0.019	1.26	0.046	608.3	16.81	815.7	23.25	6542.411	0.208	1.468	0.49	16.13	4.563	25.21	7.507	6577.911	0.208	1.468	0.49	48.4	13.69	75.62	22.52	6711.141	0.182	0.672	0.446	22.7	8.408	16.23	7.336	6725.541	0.182	0.672	0.446	11.76	8.185	8.408	4.244
63	116.667	11	5	595r5_887-249252.xlsx	6557.223	0.017	1.296	0.04	592.5	14.21	817.2	20.18	6542.503	0.166	1.527	0.379	17.84	3.915	29	6.625	6578.003	0.166	1.527	0.379	53.51	11.74	86.99	19.87	6711.103	0.188	1.865	0.355	13.69	3.185	27.17	6.111	6725.503	0.188	1.865	0.355	10.8	2.931	21.44	6.381
64	115.326	11	5	595r5_887-253256.xlsx	6557.222	0.02	1.348	0.044	667.7	17.08	958.4	25.29	6542.497	0.25	1.75	0.535	15.77	4.45	29.38	8.651	6577.997	0.25	1.75	0.535	47.3	13.35	88.13	25.95	6711.312	0.077	1.126	0.188	27.84	4.429	33.36	5.132	6725.712	0.077	1.126	0.188	16.92	3.751	20.28	5.03
65	113.985	11	5	595r5_887-257260.xlsx	6557.499	0.019	1.67	0.042	293.7	6.44	522.1	11.82	6542.802	0.196	2.256	0.507	10.18	1.814	24.45	4.751	6578.302	0.196	2.256	0.507	30.55	5.443	73.36	14.25	6711.875	0.337	1.527	1.09	6.837	4.974	11.12	5.639	6726.275	0.337	1.527	1.09	5.607	3.26	9.116	8.442
66	112.644	11	5	595r5_887-261264.xlsx	6557.737	0.011	1.426	0.031	358.5	6.492	544.1	10.15	6542.93	0.183	1.975	0.401	9.285	1.69	19.52	3.752	6578.43	0.183	1.975	0.401	27.85	5.071	58.55	11.26	6712.116	0.412	2.347	0.943	7.961	2.843	19.89	7.311	6726.516	0.412	2.347	0.943	3.645	2.18	9.107	6.307
67	111.303	11	5	595r5_887-265268.xlsx	6557.562	0.014	1.474	0.034	339.9	6.972	533.3	11.25	6542.816	0.167	2.011	0.413	11.54	1.94	24.7	4.454	6578.316	0.167	2.011	0.413	34.61	5.819	74.09	13.36	6711.728	0.098	0.969	0.221	20.31	4.86	20.94	4.641	6726.127	0.098	0.969	0.221	14.68	4.156	15.13	4.854
68	109.962	11	5	595r5_887-269272.xlsx	6557.318	0.014	1.379	0.032	466.7	8.748	685.2	13.25	6542.855	0.157	1.716	0.532	13.2	2.75	24.11	5.53	6578.355	0.157	1.716	0.532	39.61	8.25	72.32	16.59	6711.981	0.047	0.616	0.126	19.09	4.898	12.51	4.074	6726.381	0.047	0.616	0.126	32.77	6.644	21.47	3.577
69	108.621	11	5	595r5_887-273276.xlsx	6557.253	0.011	1.474	0.028	457.7	7.377	718	11.92	6542.792	0.107	1.545	0.314	16.07	2.437	26.42	4.251	6578.292	0.107	1.545	0.314	48.2	7.311	79.26	12.75	6711.765	0.062	0.923	0.144	32.9	4.671	32.32	5.27	6726.165	0.062	0.923	0.144	20.06	4.93	19.71	4.264
70	107.28	11	5	595r5_887-277280.xlsx	6557.489	0.009	1.326	0.022	495.3	6.864	699.4	9.941	6542.791	0.037	1.008	0.107	33.37	2.665	35.79	2.971	6578.291	0.037	1.008	0.107	100.1	7.996	107.4	8.914	6711.831	0.024	-0.76	0.06	60.08	5.19	-48.6	-4.116	6726.231	0.024	-0.76	0.06	54.87	4.931	-44.39	-4.184
71	105.939	11	5	595r5_887-281284.xlsx	6557.631	0.012	1.394	0.026	433.5	6.74	643.4	10.28	6542.92	0.041	0.984	0.104	29.95	2.565	31.38	2.777	6578.42	0.041	0.984	0.104	89.86	7.695	94.15	8.33	6711.921	0.044	0.817	0.092	44.9	5.323	39.03	4.705	6726.321	0.044	0.817	0.092	24.94	4.93	21.68	4.324
72	104.598	11	5	595r5_887-285288.xlsx	6557.882	0.007	1.21	0.019	621.4	8.002	800.5	10.54	6542.996	0.029	0.865	0.073	43.17	3.012	39.77	2.849	6578.496	0.029	0.865	0.073	129.5	9.036	119.3	8.547	6711.953	0.025	0.846	0.058	81.37	5.297	73.27	4.893	6726.353	0.025	0.846	0.058	46	4.838	41.42	4.389
73	103.257	11	5	595r5_887-289292.xlsx	6557.995	0.006	1.064	0.012	784.1	7.709	888.4	8.906	6543.005	0.032	0.942	0.077	37.49	2.591	37.59	2.673	6578.505	0.032	0.942	0.077	112.5	7.774	112.8	8.019	6711.987	0.034	0.933	0.081	58.91	4.786	58.49	4.929	6726.387	0.034	0.933	0.081	37.39	4.446	37.12	4.437
74	101.916	11	5	595r5_887-293296.xlsx	6558.01	0.003	0.94	0.008	1291	8.881	1292	9.036	6543.085	0.023	0.866	0.055	54.51	2.922	50.23	2.764	6578.585	0.023	0.866	0.055	163.5	8.767	150.7	8.293	6711.985	0.025	0.802	0.063	69.73	5.436	59.5	4.951	6726.385	0.025	0.802	0.063	49.36	5.371	42.11	4.425
75	100.575	11	5	595r5_887-297300.xlsx	6557.948	0.004	1.023	0.01	1321	10.93	1439	12.13	6543.079	0.024	0.885	0.058	65.75	3.686	61.97	3.569	6578.579	0.024	0.885	0.058	197.2	11.06	185.9	10.71	6711.959	0.022	0.939	0.05	77.84	4.276	77.84	4.32	6726.359	0.022	0.939	0.05	52.92	3.971	52.92	4.085
76	99.234	11	5	595r5_887-301304.xlsx	6557.72	0.005	1.283	0.014	2109	19.33	2881	27.04	6543.01	0.029	0.897	0.07	111.6	7.353	106.5	7.215	6578.51	0.029	0.897	0.07	334.8	22.06	319.6	21.64	6711.923	0.017	0.952	0.039	131.7	5.029	133.4	5.275	6726.323	0.017	0.952	0.039	81.6	4.653	82.67	4.739
77	97.893	11	5	595r5_887-305308.xlsx	6557.676	0.004	1.159	0.007	4111	23.09	5070	29.07	6542.981	0.019	0.882	0.048	189.3	8.554	177.6	8.246	6578.481	0.019	0.882	0.048	567.8	25.66	532.8	24.74	6711.917	0.008	0.93	0.024	203	5.22	200.9	5.277	6726.317	0.008	0.93	0.024	159.6	4.97	158	5.032
78	96.552	11	5	595r5_887-309312.xlsx	6557.646	0.001	0.943	0.003	5502	14.45	5522	14.75	6542.858	0.005	0.743	0.013	369.2	5.288	292.2	4.244	6578.358	0.005	0.743	0.013	1108	15.87	876.6	12.73	6711.775	0.004	0.794	0.01	430.3	5.5	363.9	4.758	6726.175	0.004	0.794	0.01	295.8	5.159	250.1	4.406
79	95.211	11	5	595r5_887-313316.xlsx	6557.636	0.002	1.014	0.004	3312	10.6	3575	11.65	6542.836	0.005	0.788	0.012	289.4	3.835	242.8	3.285	6578.336	0.005	0.788	0.012	868.3	11.51	728.3	9.854	6711.771	0.005	0.753	0.012	383.1	6.343	307.1	5.067	6726.171	0.005	0.753	0.012	290.2	5.88	232.6	4.907
80	93.87	11	5	595r5_887-317320.xlsx	6557.694	0.003	1.071	0.006	2449	12.18	2791	14.15	6542.892	0.011	0.844	0.026	167.6	4.398	150.6	4.044	6578.392	0.011	0.844	0.026	502.8	13.19	451.9	12.13	6711.841	0.007	0.829	0.016	260.4	4.99	229.7	4.486	6726.241	0.007	0.829	0.016	191.5	4.715	168.9	4.219
81	92.529	11	5	595r5_887-321324.xlsx	6557.678	0.003	1.024	0.006	1613	8.181	1758	9.077	6542.904	0.01	0.869	0.024	119.6	2.819	110.7	2.67	6578.404	0.01	0.869	0.024	358.9	8.458	332	8.01	6711.829	0.008	0.822	0.019	223.2	4.979	195.4	4.403	6726.229	0.008	0.822	0.019	145.2	4.551	127.1	4.086
82	91.188	11	5	595r5_887-325328.xlsx	6557.604	0.004	1.022	0.01	911.9	7.466	992.5	8.278	6542.799	0.018	0.988	0.044	65.58	2.434	69.01	2.639	6578.299	0.018	0.988	0.044	196.7	7.303	207	7.917	6711.799	0.019	0.956	0.042	120.5	4.931	122.6	5.162	6726.199	0.019	0.956	0.042	73.27	4.524	74.57	4.662
83	89.847	11	5	595r5_887-329332.xlsx	6557.595	0.004	0.981	0.009	872.9	7.101	911.1	7.546	6542.781	0.016	0.87	0.039	63.51	2.411	58.78	2.292	6578.281	0.016	0.87	0.039	190.5	7.232	176.3	6.876	6711.776	0.019	0.877	0.045	106.4	4.87	99.35	4.633	6726.176	0.019	0.877	0.045	54.07	4.284	50.5	4.086
